loc1	loc2	loc3	loc4	loc5	loc6	loc7	loc8	loc9	loc10	loc11	loc12	loc13	loc14	loc15	loc16	loc17	loc18	loc19	loc20	loc21	loc22	loc23	loc24	loc25	loc26	loc27	loc28	loc29	loc30	loc31	loc32	loc33	loc34	loc35	loc36	loc37	loc38	loc39	loc40	loc41	loc42	loc43	loc44	loc45	loc46	loc47	loc48	loc49	loc50	loc51	loc52	loc53	loc54	loc55	loc56	loc57	loc58	loc59	loc60	loc61	loc62	loc63	loc64	loc65	loc66	loc67	loc68	loc69	loc70	loc71	loc72	loc73	loc74	loc75	loc76	loc77	loc78	loc79	loc80	loc81	loc82	loc83	loc84	loc85	loc86	loc87	loc88	loc89	loc90	loc91	loc92	loc93	loc94	loc95	loc96	loc97	loc98	loc99	loc100
ind1	45	66	40	66	58	42	45	55	54	50	48	42	43	47	50	56	71	50	55	48	50	50	48	46	50	42	40	49	54	64	58	64	54	58	46	52	47	59	55	48	45	42	50	44	51	54	55	51	63	49	49	50	37	42	42	47	52	42	45	45	57	45	47	45	50	57	55	58	51	55	45	44	52	54	50	49	36	54	56	45	58	47	32	43	40	62	57	54	49	57	52	56	46	60	52	56	47	44	61	46
ind2	58	53	56	54	38	34	38	60	45	58	42	55	60	59	54	45	57	53	53	43	32	37	55	54	51	59	63	44	65	52	39	48	65	50	54	57	62	59	60	49	47	54	44	41	44	64	37	44	37	50	54	45	48	50	47	51	44	42	50	52	35	50	66	47	51	56	42	49	64	58	46	59	46	44	46	62	44	48	47	41	52	50	48	38	55	47	50	43	63	43	51	37	43	55	49	64	34	53	55	61
ind3	49	40	64	53	55	57	52	58	58	44	57	45	54	49	48	51	49	57	43	68	55	52	53	52	49	50	42	57	45	55	58	38	56	54	53	57	58	45	45	63	40	43	51	53	63	55	51	70	40	48	47	45	51	51	57	46	48	52	49	44	61	44	42	44	49	53	60	51	47	52	48	44	57	55	47	50	55	47	51	67	49	51	56	51	63	55	54	52	44	53	53	56	49	44	39	48	60	41	55	44
ind4	48	53	56	54	58	44	43	49	49	48	43	49	49	56	43	43	60	48	46	45	55	46	54	62	49	47	42	47	36	47	61	46	55	47	41	43	61	57	48	45	42	64	55	53	65	58	57	35	49	48	53	49	46	56	46	52	51	48	54	52	47	50	49	54	49	53	53	45	55	52	53	54	50	38	55	56	46	62	59	45	51	43	38	56	48	45	42	65	58	58	55	47	50	31	43	60	56	54	56	45
ind5	39	56	46	51	54	54	56	52	63	61	50	62	54	52	48	54	55	44	39	46	50	48	67	47	54	50	52	40	57	45	48	45	55	41	52	48	37	61	49	49	36	47	55	35	50	47	47	61	58	52	47	47	44	45	46	56	53	44	48	58	59	47	59	50	51	56	57	43	47	54	54	56	48	50	56	40	54	49	45	52	45	63	51	38	58	47	58	44	43	52	53	49	46	40	36	41	52	41	49	48
ind6	53	43	47	40	45	57	57	52	56	44	43	64	41	54	44	57	50	40	64	64	43	60	51	52	48	49	48	48	50	58	50	48	59	48	53	56	48	46	45	66	49	45	47	53	61	43	47	37	56	46	40	48	49	53	57	46	40	43	53	49	41	53	44	51	53	44	44	48	51	51	52	46	47	54	60	49	67	49	62	46	45	47	57	48	52	52	49	48	44	41	43	49	48	69	57	57	56	56	50	55
ind7	51	53	52	40	52	53	51	46	52	41	49	41	54	53	46	55	45	56	41	57	42	54	52	41	41	57	50	69	49	59	51	37	43	49	49	62	59	56	52	51	46	48	48	49	44	58	54	54	57	52	49	45	52	49	43	49	44	59	67	54	43	53	47	56	56	62	35	47	43	53	46	39	51	45	59	41	58	40	41	51	52	55	53	52	44	45	57	50	42	55	53	44	50	42	58	43	57	47	43	38
ind8	63	55	45	50	53	65	40	62	50	49	50	41	61	43	50	41	55	50	53	43	60	52	45	62	58	34	48	45	50	41	41	55	43	59	54	49	61	54	47	55	53	43	42	49	52	54	46	48	51	61	41	49	43	55	44	59	63	47	52	45	51	42	61	55	43	44	52	51	40	50	45	54	42	50	60	43	55	47	49	40	48	55	38	49	49	47	49	47	54	54	43	49	39	45	53	39	46	52	37	42
ind9	50	60	58	43	52	43	51	47	57	43	41	45	50	52	62	64	55	49	47	47	37	55	63	61	50	49	46	57	50	46	43	60	42	43	53	51	53	46	47	54	45	62	58	52	38	49	48	57	48	49	58	36	62	54	53	53	49	52	44	38	45	56	64	60	52	55	54	59	50	46	54	46	69	55	55	43	49	55	35	49	38	50	55	37	54	47	54	52	48	44	55	40	49	56	57	62	58	42	54	46
ind10	45	58	36	64	46	58	53	44	47	51	45	46	39	43	51	39	53	39	43	48	46	51	57	60	43	40	54	64	43	58	52	49	46	49	44	59	49	60	43	48	47	64	54	58	46	31	46	45	52	52	46	43	46	53	52	43	50	54	50	48	60	37	55	51	52	51	46	55	61	38	54	56	45	45	50	43	53	58	57	51	57	43	46	48	50	52	47	53	59	46	60	56	44	54	55	57	47	64	51	58
