iter	p__loc1	p__loc2	p__loc3	p__loc4	p__loc5	p__loc6	p__loc7	p__loc8	p__loc9	p__loc10	p__loc11	p__loc12	p__loc13	p__loc14	p__loc15	p__loc16	p__loc17	p__loc18	p__loc19	p__loc20	p__loc21	p__loc22	p__loc23	p__loc24	p__loc25	p__loc26	p__loc27	p__loc28	p__loc29	p__loc30	p__loc31	p__loc32	p__loc33	p__loc34	p__loc35	p__loc36	p__loc37	p__loc38	p__loc39	p__loc40	p__loc41	p__loc42	p__loc43	p__loc44	p__loc45	p__loc46	p__loc47	p__loc48	p__loc49	p__loc50	p__loc51	p__loc52	p__loc53	p__loc54	p__loc55	p__loc56	p__loc57	p__loc58	p__loc59	p__loc60	p__loc61	p__loc62	p__loc63	p__loc64	p__loc65	p__loc66	p__loc67	p__loc68	p__loc69	p__loc70	p__loc71	p__loc72	p__loc73	p__loc74	p__loc75	p__loc76	p__loc77	p__loc78	p__loc79	p__loc80	p__loc81	p__loc82	p__loc83	p__loc84	p__loc85	p__loc86	p__loc87	p__loc88	p__loc89	p__loc90	p__loc91	p__loc92	p__loc93	p__loc94	p__loc95	p__loc96	p__loc97	p__loc98	p__loc99	p__loc100
100	0.1081958	0.05863866	0.1383916	0.09270376	0.1917265	0.2802566	0.1611217	0.04918368	0.08687266	0.09171764	0.1633702	0.08136668	0.1134636	0.02353179	0.04334956	0.1386807	0.1104149	0.1106952	0.1522348	0.08102993	0.1387735	0.05174197	0.03607082	0.1031971	0.0634102	0.1220465	0.1760703	0.1615505	0.1803472	0.0432492	0.04565016	0.08065216	0.09801462	0.07182872	0.1384566	0.04547602	0.1033187	0.06822317	0.1733611	0.1407488	0.08219791	0.2564785	0.1676989	0.04786453	0.06248916	0.1192011	0.1112848	0.1025658	0.07331545	0.141308	0.1103105	0.1011686	0.302747	0.1388931	0.09691084	0.1108418	0.1819708	0.05636957	0.02641666	0.1120334	0.1290531	0.1768235	0.09532221	0.07534958	0.2046286	0.06299634	0.1735074	0.01800962	0.1116424	0.04780887	0.0943777	0.1201163	0.05617715	0.07828325	0.2837592	0.1548778	0.1683957	0.1645783	0.1509694	0.07229629	0.05493263	0.3774926	0.07002283	0.09287728	0.1136674	0.148734	0.07814576	0.08000776	0.1135254	0.07249676	0.1190022	0.1157875	0.1605567	0.05473305	0.1108398	0.1671642	0.1243427	0.2108219	0.09704567	0.1411862
200	0.11	0.04586941	0.1125297	0.1468709	0.1397355	0.1515155	0.2370236	0.06180589	0.07053701	0.07040131	0.1912954	0.08328749	0.05437327	0.1440592	0.1150478	0.1598608	0.07455147	0.1060859	0.1581119	0.07298341	0.1324449	0.1383895	0.03153637	0.06526126	0.06473512	0.1660935	0.08909687	0.125953	0.1192907	0.1106377	0.08041843	0.1146333	0.1263615	0.239049	0.07400604	0.1546748	0.1771033	0.1243829	0.1907972	0.135424	0.1236871	0.1758225	0.1705893	0.08771734	0.05027973	0.06963765	0.2369971	0.1498005	0.05475193	0.05653647	0.1104773	0.07037173	0.2642734	0.1158521	0.0791498	0.1282398	0.1066096	0.05192855	0.05165412	0.04981558	0.1295415	0.1777255	0.04041358	0.08150433	0.1667136	0.1031646	0.1082409	0.03469468	0.1398125	0.04234579	0.0816209	0.04505926	0.1502227	0.03511249	0.2446436	0.1742927	0.2056454	0.09852359	0.1664167	0.1657665	0.1444543	0.2462426	0.1204424	0.08932486	0.0923343	0.1316127	0.08733257	0.1194578	0.0691805	0.1182274	0.07329589	0.145221	0.107205	0.06404553	0.0624423	0.07817981	0.2371386	0.2273285	0.1013982	0.153684
300	0.1921409	0.07077238	0.1231801	0.06967668	0.2893463	0.1599815	0.1811572	0.05872796	0.08642282	0.05519375	0.1202272	0.0892367	0.1555237	0.04301398	0.1258498	0.0505203	0.08651815	0.09389858	0.1555678	0.03009892	0.1571081	0.2232032	0.08724346	0.2264334	0.06327667	0.1974528	0.09691179	0.1204248	0.1515133	0.05704399	0.08070802	0.06730229	0.06069443	0.1102051	0.05802503	0.04240506	0.2168715	0.1000545	0.21875	0.164445	0.1223536	0.1178937	0.1433981	0.09099549	0.02631977	0.1522459	0.1443505	0.09189457	0.07909797	0.08686517	0.1555495	0.1122649	0.3195228	0.1627584	0.1254999	0.09334692	0.1863624	0.1281811	0.03587248	0.06318686	0.1494388	0.2531114	0.05078916	0.06952048	0.1514864	0.0564821	0.07695934	0.02475968	0.0496446	0.1680394	0.03670504	0.1130552	0.04576902	0.06735739	0.1320088	0.1706097	0.1204749	0.1457109	0.1130058	0.211923	0.1973719	0.207678	0.1781534	0.1260622	0.1020435	0.07551403	0.1148018	0.06182702	0.08043091	0.09153405	0.08884467	0.1063531	0.1348362	0.09013663	0.07068471	0.0951873	0.08494208	0.119231	0.1436999	0.1182044
400	0.1053945	0.1911247	0.2827281	0.1447696	0.2977949	0.08167602	0.2183845	0.02043054	0.08306865	0.05055641	0.1810439	0.1295098	0.06053073	0.09736197	0.07447264	0.1302674	0.2092435	0.1569699	0.08987549	0.03289654	0.1446869	0.08865701	0.08865935	0.08014259	0.06396931	0.1735118	0.07721328	0.0930785	0.2679771	0.12234	0.07721033	0.06311825	0.09560056	0.2465361	0.1163337	0.09015538	0.0878011	0.03596333	0.129184	0.1850033	0.1281573	0.1359458	0.1537113	0.02534123	0.06095103	0.0905626	0.1652899	0.1010995	0.05794602	0.1616054	0.1301349	0.122994	0.2706957	0.1512299	0.09228214	0.05135739	0.1365393	0.06060376	0.03108221	0.07150773	0.1151594	0.152592	0.08033324	0.06017767	0.1442496	0.02759585	0.1903492	0.02774373	0.1139945	0.05016399	0.1335715	0.09608964	0.05182712	0.1813434	0.2217583	0.1304312	0.1947123	0.1529103	0.1291748	0.1650282	0.07736344	0.2210365	0.1015738	0.1477942	0.09538079	0.2717646	0.04864122	0.2077007	0.1221361	0.1247023	0.1490476	0.1063209	0.1003689	0.06432261	0.1214801	0.07574251	0.1296318	0.2328456	0.06033884	0.06408986
500	0.08088161	0.06659402	0.1754511	0.02892224	0.1773426	0.1245745	0.1428735	0.1049622	0.06401677	0.04637865	0.1465752	0.1332907	0.05685756	0.08670907	0.05934634	0.1388663	0.1713685	0.1797592	0.1043231	0.07292307	0.1848427	0.1891776	0.07380954	0.1715558	0.08910147	0.1998559	0.1300696	0.1347772	0.1370555	0.1218532	0.106304	0.1047615	0.1126482	0.1405962	0.07232923	0.1309953	0.2074517	0.04522842	0.1156688	0.1060077	0.1242719	0.1229289	0.2454911	0.03399429	0.03579545	0.08090958	0.1098404	0.08644578	0.0708984	0.06935143	0.1300763	0.1352764	0.2485547	0.1470706	0.09294718	0.07224365	0.1069344	0.06959524	0.03843195	0.114807	0.1127021	0.1408461	0.05299511	0.1056873	0.1046065	0.05252249	0.1186098	0.05814164	0.1448342	0.09168862	0.09029757	0.07942415	0.08882061	0.06900436	0.2254463	0.09211369	0.1948798	0.1463781	0.165234	0.1683136	0.1688272	0.2107947	0.1141877	0.1830702	0.08045039	0.06629946	0.07341122	0.07290484	0.05788856	0.08367261	0.06810758	0.09156268	0.09805547	0.07571072	0.1111061	0.1102069	0.0957195	0.210601	0.05314229	0.1056626
600	0.2260727	0.08439206	0.1304262	0.109624	0.2131689	0.1513523	0.2503222	0.09117096	0.06862347	0.0350971	0.07972376	0.1427142	0.06284793	0.09610511	0.01714799	0.07275511	0.102082	0.1483876	0.1241448	0.0626771	0.1332601	0.1318763	0.01755946	0.1069668	0.05575034	0.1788137	0.023751	0.1178709	0.114204	0.1018289	0.09430482	0.07196104	0.0694294	0.2275995	0.1051556	0.1010046	0.1473013	0.06544533	0.13237	0.07804868	0.1441256	0.118387	0.07034326	0.01830973	0.0244574	0.1739734	0.2804615	0.1878996	0.1036757	0.1184942	0.1444618	0.08566963	0.1867503	0.1642517	0.1207635	0.1175098	0.1240237	0.09063706	0.03017266	0.09674216	0.261325	0.1513175	0.04269856	0.09090468	0.07274568	0.08371084	0.140331	0.06762437	0.1809076	0.08228838	0.156582	0.02939881	0.09123653	0.07766874	0.1337429	0.1539642	0.1600124	0.1124876	0.1163043	0.1280531	0.1187723	0.2142307	0.1010322	0.1299283	0.03454631	0.0867027	0.04738161	0.07422048	0.0801806	0.1176283	0.0810375	0.07053325	0.09844816	0.09830828	0.1572633	0.1561763	0.153793	0.07668151	0.04905785	0.1444216
700	0.08581486	0.1820772	0.142371	0.1157858	0.1762327	0.1055084	0.2470107	0.07521215	0.08940162	0.0582625	0.1040882	0.1337211	0.0603829	0.0201234	0.08747632	0.1104939	0.1118568	0.1014163	0.0809977	0.1054917	0.2056231	0.04363256	0.0601914	0.1655578	0.09625558	0.1550036	0.08733483	0.2160623	0.09446109	0.06142868	0.09967208	0.1115606	0.1554186	0.1438072	0.05591934	0.1227156	0.1826847	0.05269708	0.1196094	0.1394629	0.1467435	0.1510636	0.1806236	0.1635154	0.05564427	0.09115153	0.150967	0.0833943	0.08791725	0.07378791	0.1481248	0.07288866	0.2366399	0.2106364	0.1310195	0.08154173	0.1869557	0.05293399	0.04051026	0.1009907	0.1805989	0.1466789	0.05468537	0.113222	0.2065499	0.07530184	0.2454205	0.03595885	0.03493247	0.08576632	0.1123237	0.07410792	0.0299272	0.0665675	0.3418559	0.1679019	0.1201654	0.1509633	0.05498947	0.1334561	0.1366913	0.2286107	0.08318044	0.1785524	0.03824285	0.09031321	0.09664532	0.06895324	0.1244187	0.06965177	0.04107962	0.1730352	0.2655263	0.09125919	0.1472455	0.1249645	0.1636607	0.1563516	0.2188312	0.09322257
800	0.1078226	0.1475917	0.1753981	0.1145829	0.1862816	0.06928045	0.1960267	0.129121	0.03819658	0.01351261	0.1449509	0.08452076	0.04235617	0.1204112	0.08508436	0.1486257	0.1214348	0.1199499	0.06358082	0.03782293	0.1481642	0.1126827	0.09496089	0.1000847	0.1504052	0.08694327	0.08995443	0.1254086	0.1557093	0.1344544	0.05770061	0.05140456	0.1931971	0.1973119	0.06540624	0.1003505	0.1725851	0.03161532	0.2085351	0.1628009	0.08732426	0.1211818	0.1446466	0.1014072	0.04945981	0.1549322	0.1995077	0.1021058	0.061051	0.2096727	0.1533162	0.1290369	0.2279917	0.118675	0.1159171	0.09937446	0.1511347	0.1439144	0.05124689	0.06628914	0.1240843	0.1524025	0.04222839	0.0433234	0.1043711	0.07974632	0.1596731	0.04817996	0.06220499	0.05709498	0.09365357	0.1360835	0.1162212	0.08019595	0.2267099	0.1549256	0.2496462	0.06709478	0.09800714	0.1393468	0.1353215	0.301007	0.10672	0.05864257	0.05713145	0.09114208	0.01922799	0.0733029	0.04719362	0.09005466	0.1326214	0.1396754	0.1669739	0.2000265	0.1597451	0.0803419	0.131058	0.119104	0.06174598	0.0431308
900	0.1603313	0.2054472	0.1941325	0.1074289	0.2508648	0.1850176	0.1959725	0.06795517	0.04606384	0.1102393	0.08565126	0.04161215	0.0714633	0.0907649	0.09548564	0.04234843	0.08502634	0.07633432	0.07389884	0.01883697	0.2733285	0.1196496	0.1487451	0.121388	0.04161863	0.188993	0.1413143	0.122652	0.1315892	0.05930263	0.03667188	0.09704964	0.08551224	0.1765645	0.05439997	0.0264085	0.1439373	0.06303889	0.1712251	0.08412337	0.1274735	0.1660988	0.2254662	0.03319223	0.02597048	0.1672432	0.1967989	0.04435176	0.07785984	0.1557293	0.1004626	0.1234902	0.1892815	0.133787	0.09561759	0.1109161	0.1786648	0.05888911	0.05563158	0.02910588	0.1931399	0.1937497	0.1563563	0.06052968	0.09151565	0.07793994	0.1351229	0.01808255	0.08921192	0.04271792	0.03165446	0.09455369	0.1058432	0.1281509	0.2473452	0.08507225	0.1669915	0.07005955	0.0867152	0.08622908	0.1581863	0.2400501	0.2199218	0.1292513	0.1917416	0.06118558	0.1486961	0.1203285	0.1377841	0.1756583	0.05111142	0.1167628	0.1325903	0.1225003	0.1237151	0.06889057	0.1495307	0.1758598	0.08757171	0.0722839
1000	0.1500644	0.1464155	0.09418052	0.0985347	0.2448605	0.1031357	0.3119605	0.07787518	0.07657989	0.07654335	0.1364638	0.07423584	0.09984625	0.07219206	0.1148434	0.148756	0.1237813	0.0434755	0.1451168	0.08095886	0.1538696	0.1343208	0.08918398	0.1290636	0.009020535	0.1030795	0.09546326	0.1386147	0.1056819	0.058871	0.0767735	0.04619231	0.08374844	0.05845098	0.1339147	0.1031759	0.1145676	0.01791431	0.1499351	0.02713262	0.1160334	0.1283887	0.1939958	0.07749336	0.06657333	0.266251	0.1387152	0.08790124	0.0838179	0.1456893	0.1598893	0.07828873	0.3511997	0.14249	0.07895983	0.1137699	0.1708695	0.07566271	0.03251875	0.1086325	0.1922972	0.1752879	0.1768412	0.1030814	0.1369719	0.06515937	0.1778878	0.01816504	0.05692349	0.05506922	0.1140232	0.08936294	0.04604978	0.06858499	0.2170773	0.1374235	0.2172646	0.1381289	0.1532192	0.1812153	0.1338937	0.3676884	0.1831569	0.1725142	0.08072869	0.101937	0.04111149	0.1502402	0.0982925	0.07237705	0.1030162	0.132476	0.1025192	0.1292187	0.0745142	0.1016855	0.1347776	0.1444162	0.08409971	0.1024623
