iter	p__loc1	p__loc2	p__loc3	p__loc4	p__loc5	p__loc6	p__loc7	p__loc8	p__loc9	p__loc10	p__loc11	p__loc12	p__loc13	p__loc14	p__loc15	p__loc16	p__loc17	p__loc18	p__loc19	p__loc20	p__loc21	p__loc22	p__loc23	p__loc24	p__loc25	p__loc26	p__loc27	p__loc28	p__loc29	p__loc30	p__loc31	p__loc32	p__loc33	p__loc34	p__loc35	p__loc36	p__loc37	p__loc38	p__loc39	p__loc40	p__loc41	p__loc42	p__loc43	p__loc44	p__loc45	p__loc46	p__loc47	p__loc48	p__loc49	p__loc50	p__loc51	p__loc52	p__loc53	p__loc54	p__loc55	p__loc56	p__loc57	p__loc58	p__loc59	p__loc60	p__loc61	p__loc62	p__loc63	p__loc64	p__loc65	p__loc66	p__loc67	p__loc68	p__loc69	p__loc70	p__loc71	p__loc72	p__loc73	p__loc74	p__loc75	p__loc76	p__loc77	p__loc78	p__loc79	p__loc80	p__loc81	p__loc82	p__loc83	p__loc84	p__loc85	p__loc86	p__loc87	p__loc88	p__loc89	p__loc90	p__loc91	p__loc92	p__loc93	p__loc94	p__loc95	p__loc96	p__loc97	p__loc98	p__loc99	p__loc100
100	0.01585267	0.01814634	0.02304771	0.03780728	0.007052312	0.00373533	0.02966365	0.02040369	0.007482021	0.02950271	0.01006224	0.03469537	0.01269275	0.009104324	0.04127858	0.02680469	0.003572546	0.01855564	0.04824839	0.01533326	0.000434996	0.008173387	0.005013494	0.06085354	0.01193572	0.05044717	0.004430883	0.03030512	0.03710397	0.00656322	0.02111989	0.00077941	0.0003894379	0.004863968	0.03967912	0.06401955	0.00447001	0.008939126	0.02519229	0.00751299	0.00536255	0.04432505	0.01166017	0.01667308	0.01104642	0.04801885	0.009079964	0.01839272	0.05577502	0.002998601	0.01261324	0.07516452	0.05890625	0.003284982	0.04255531	0.01485965	0.01165405	0.007386204	0.05452124	0.08128647	0.02711603	0.002326575	0.01044587	0.007224439	0.01505804	0.002022043	0.01832312	0.004406187	0.03084985	0.05479055	0.001578549	0.01918227	0.01433079	0.02833644	0.01369307	0.004713775	0.02135313	0.01738139	0.01734895	0.03809934	0.009707659	0.01150321	0.01750015	0.0561087	0.002934208	0.03224845	0.0669731	0.01650006	0.009239577	0.007775874	0.01797205	0.02576188	0.008520322	0.03207304	0.05569647	0.01172629	0.01077008	0.002739166	0.01087263	0.09355668
200	0.01941412	0.08231008	0.02726526	0.06631021	0.0767607	0.0119855	0.04452635	0.02147902	0.0004747885	0.0220165	0.07485604	0.0117397	0.03955635	0.03426573	0.009575982	0.01449465	0.04110695	0.01149746	0.007725822	0.009505602	0.02054748	0.005824426	0.01159554	0.03117315	0.03246671	0.06702684	0.01187409	0.009744086	0.05356091	0.01202854	0.01166204	0.0003739997	0.02611109	0.01813847	0.09504187	0.03352037	0.02297678	0.06509854	0.01748786	0.01602557	0.003312856	0.01977246	0.03960463	0.043925	0.03141545	0.02789661	0.002213855	0.003745819	0.1012879	0.02079789	0.0191262	0.00175319	0.04527214	0.03042563	0.01273322	0.03393383	0.01526926	0.01677941	0.04333111	0.03649149	0.008732282	0.003691052	0.01297607	0.01708049	0.004897507	0.005540917	0.02559449	0.05670187	0.02802549	0.0675783	0.0005946982	0.04359462	0.001690458	0.02484138	0.02206105	0.03803485	0.005837572	0.0221514	0.00340769	0.02592727	0.01968299	0.004402778	0.07493504	0.02814495	0.01356216	0.01815852	0.05224129	0.0009169462	0.003505246	0.008834831	0.02166867	0.001170809	0.04900283	0.006767486	0.008113615	0.04844022	0.000866492	0.01677548	0.03144273	0.05294605
300	0.0001637669	0.1095446	0.01171886	0.0009732818	0.02550061	0.01899425	0.04506316	0.01957811	0.01240799	0.01545089	0.00417697	0.0498264	0.0374892	0.01173262	0.007619687	0.008033707	0.005122932	0.008088711	0.01578775	0.006951323	0.001109578	0.0008648435	0.00559316	0.03502525	0.01868431	0.03968619	0.02955278	0.006967985	0.01617603	0.007944503	0.01550808	0.01065124	0.04243188	0.004828493	0.02745764	0.03639969	0.0134008	0.04267745	0.02161713	0.004795337	0.004005779	0.004710108	0.02409209	0.03924002	0.0234741	0.01598582	0.007495304	0.03147853	0.06465851	0.009131174	0.04554289	0.02721972	0.08104058	0.02510493	0.01471366	0.009282985	0.04821758	0.07364079	0.03253234	0.117907	0.0528915	0.0199326	0.02578928	0.01288788	0.05836639	0.007828536	0.0540392	0.01164315	0.05998984	0.007595273	0.02645629	0.09031249	0.003518537	0.05897104	0.003368427	0.009206378	0.001800105	0.01167113	0.002798424	0.04028039	0.008021824	0.005862442	0.03301795	0.05143923	0.009362054	0.0197071	0.052688	0.02333023	0.01523173	0.01468398	0.02461961	0.01548807	0.002308774	0.02953055	0.02260993	0.03883065	0.01132096	0.002715946	0.008953488	0.03689973
400	0.01595111	0.05126588	0.007388365	0.1039562	0.03840477	0.007413122	0.04752595	0.004918808	0.02233923	0.0320131	0.05313388	0.04901673	0.05316456	0.05031245	0.01686174	0.1004325	0.008350005	0.01012007	0.03018761	0.01673377	0.004026958	0.02148629	0.004806626	0.03946201	0.002806126	0.04306148	0.002625478	0.006029676	0.07374948	0.04062147	0.002555623	0.03809138	0.0006487128	0.001578273	0.03593879	0.0681478	0.008482935	0.02607846	0.01471362	0.0109007	0.02817481	0.007444718	0.02186596	0.006043686	0.01148606	0.02884154	0.008622996	0.00293223	0.05929392	0.03076321	0.009282123	0.01343579	0.05974641	0.05432634	0.004062971	0.03851014	0.01658655	0.1100718	0.01803539	0.1099405	0.03176394	0.02974546	0.00547348	0.002058442	0.006444846	0.01698559	0.03162892	0.002850556	0.05646742	0.008883929	0.02854663	0.0810305	0.002510383	0.02173183	0.03276475	0.01267728	0.03504562	0.01144076	0.01642253	0.07869594	0.006900583	0.001372131	0.02830637	0.06579666	0.0008837737	0.004742991	0.03266976	0.0008115076	0.003417384	0.0007093724	0.01083442	0.03213633	0.02673731	0.02947836	0.01617195	0.03186591	0.02575568	0.009265866	0.01376763	0.1151468
500	0.01126354	0.03660569	0.02379225	0.03008101	0.05365114	0.002225432	0.06434712	0.0006634151	0.01503576	0.007519009	0.007685906	0.04668134	0.01688478	0.0126488	0.01476449	0.02937776	0.01708456	0.02653459	0.01516041	0.01078537	0.02461978	0.03129126	0.01391275	0.04285347	0.003677921	0.06169812	0.0322416	0.008863541	0.01358579	0.004297171	0.0004618275	0.003095878	0.008687062	0.0158181	0.05145444	0.04181971	6.897594e-05	0.005874943	0.05849533	0.004104176	0.04139287	0.0211542	0.004731962	0.009467807	0.004629947	0.003734818	0.0007306525	0.005898412	0.05427041	0.002330483	0.02152054	0.01056849	0.07733219	0.04167496	0.009332181	0.001608471	0.08672697	0.005990957	0.01030473	0.05636655	0.03726038	0.005235251	0.02068766	0.02747721	0.002103482	0.007021754	0.01885244	0.07339517	0.07026191	0.01835624	0.006421561	0.03579946	0.02405869	0.0484021	0.02300949	0.01474027	0.03033099	0.01358006	0.03508148	0.02120801	0.02529704	0.0196007	0.01463092	0.05982629	0.01519677	0.007936392	0.03976149	0.0002795434	0.004256311	0.0009112877	0.01762549	0.07027234	0.02833589	0.02715635	0.0163429	0.03780023	0.03842968	0.02709654	0.03060815	0.08071889
600	0.006281871	0.01587883	0.001424847	0.02376425	0.0286419	0.03019311	0.003983625	0.06558394	0.0003057863	7.656757e-05	0.01433787	0.01102231	0.04842273	0.02775096	0.01527904	0.05834001	0.01131654	0.007233352	0.01402593	0.008884011	0.02987902	0.002417358	0.01193848	0.04154387	0.01474827	0.02728556	0.001182012	0.01027694	0.0350269	0.01632476	0.003424446	0.03714367	0.01763247	0.030909	0.0465305	0.0234741	0.01689208	0.04525325	0.02105898	0.007508503	0.01895559	0.01744072	0.01467853	0.01913145	0.02755077	0.01233329	0.005052649	0.02121052	0.02881695	0.01279065	0.0207515	0.02513321	0.02204729	0.01192261	0.02575668	0.02482322	0.02094215	0.03014359	0.008606972	0.07231232	0.09757534	0.001296324	0.009499683	0.001489875	0.005851695	0.02132622	0.00962701	0.0557722	0.01745225	0.001354937	0.01616037	0.07576196	0.01748952	0.02195211	0.005552045	0.0005535308	0.01603409	0.07812265	0.01349008	0.02504779	0.003910202	0.003315755	0.009202631	0.06881419	0.03336163	0.005503761	0.06055748	0.0169008	0.01876686	0.02027997	0.03710588	0.02611332	0.004548401	0.01556416	0.02495162	0.01389659	0.01061894	0.002255275	0.01866498	0.03742061
700	0.01312968	0.1569611	0.04010351	0.02618175	0.02675602	0.03712828	0.02578755	0.0001657481	0.005986538	0.0186474	0.005169635	0.01052137	0.004560576	0.01999617	0.01122247	0.04498275	0.02451982	0.007104317	0.01200679	0.03569484	0.01850186	0.001119794	0.001145346	0.03969228	0.01826126	0.0689782	0.01747203	0.005697771	0.03531971	0.01536096	0.001138299	0.005105013	0.01244036	0.0008414689	0.01419015	0.03360508	0.01333627	0.01958439	0.009278814	0.01116419	0.005009516	0.01041449	0.002919469	0.008972115	0.01547389	0.009616707	0.001397728	0.01326294	0.05663339	0.0009643756	0.01278278	0.006874331	0.05879933	0.01413234	0.0276089	0.004556452	0.004538562	0.0366105	0.09891148	0.13046	0.03147537	0.07609944	0.01250711	0.01427791	0.009766792	0.03987654	0.02922619	0.03216455	0.007211511	0.01634903	0.03375836	0.05633985	0.004251621	0.03961726	0.0376079	0.007293368	0.002516651	0.0002514055	0.002195294	0.04645903	0.009334234	0.01627979	0.02741437	0.03551545	0.01468231	0.001307738	0.02918991	0.0353346	0.01693501	0.006025362	0.0383876	0.02438864	0.02417206	0.02531039	0.05023935	0.02155479	0.0300886	0.02301677	0.002007188	0.04819514
800	0.03478734	0.003434731	0.03727238	0.03230829	0.06230327	0.003711831	0.02117436	0.008152995	0.004799385	0.01558346	0.001327877	0.05030116	0.05518709	0.04860939	0.003454627	0.03020932	0.004489073	0.02930453	0.02521052	0.03032105	0.02289924	0.002862617	0.006246963	0.05346314	0.04837469	0.08487122	0.01558963	0.04527103	0.008974415	0.02849296	0.01111725	0.008139495	0.03534495	0.003416605	0.08510854	0.04310285	0.01583469	0.01276488	0.01299165	0.0002053575	0.001403385	0.004405333	0.005883818	0.02570661	0.002691043	0.00792045	0.009487745	0.009719175	0.03554914	0.01029741	0.006099116	0.05340556	0.03079156	0.004122129	0.007177853	0.01758581	0.01697895	0.02707204	0.02980768	0.07837078	0.01349784	0.0562287	0.07290508	0.00370674	0.00749275	0.007200442	0.009228579	0.0587754	0.0377015	0.01523988	0.01864359	0.08583803	0.005933702	0.02426698	0.004983082	0.01180637	0.04524081	0.08311775	0.02569846	0.02550724	0.01402162	0.02944805	0.01172048	0.01536951	0.04449597	0.00265981	0.03661544	0.05145056	0.01894784	0.02627181	0.06760248	0.0155754	0.02910444	0.01276867	0.03084546	0.01463332	0.02069802	0.06710504	0.01727979	0.04322773
900	0.02962974	0.08520155	0.05597606	0.02049589	0.04877956	0.01261917	0.004686929	0.003237107	0.02210759	0.0004786181	0.002440321	0.02453266	0.06994063	0.04471582	0.07670417	0.07830923	0.005945102	0.02094056	0.06486349	0.0003294854	0.003367623	0.01819562	0.001221681	0.05611431	0.05787124	0.04722769	0.003535447	0.005311872	0.02331661	0.01896147	0.006023353	0.03295176	0.004761463	0.00311457	0.1041271	0.06493524	0.007678604	0.04118317	0.004228509	0.00958062	0.01447309	0.001071233	0.003132292	0.00465478	0.02235649	0.03511815	0.01757594	0.01781159	0.01073416	0.004245676	0.06629907	0.02381821	0.02996024	0.03149051	0.01344597	0.004984919	0.03329	0.00752128	0.01364369	0.07168951	0.01188268	0.02518903	0.03947123	0.01356317	0.02681674	0.005685175	0.05166626	0.02043852	0.03785337	0.008029148	0.003385721	0.05385316	0.006193815	0.01442895	0.06512457	0.0007503563	0.03905779	0.02276193	0.04423701	0.01547103	0.04423558	0.0170165	0.005263757	0.06264533	0.003578442	0.001788444	0.01491578	0.0002364194	0.03856888	0.00704459	0.05118265	0.007889797	0.02826712	0.008510384	0.02831513	0.01548167	0.01055202	0.03804923	0.007758557	0.05234476
1000	0.05291652	0.03872125	0.05216192	0.03951673	0.03832706	0.003511592	0.03620095	0.002894014	0.001854729	0.001522082	0.001122304	0.04557899	0.06038464	0.03493136	0.01628955	0.0910718	0.00738819	0.04631205	0.02724548	0.003636256	0.004800383	0.006033026	0.01588072	0.009143975	0.001437135	0.007667909	0.02724904	0.004064198	0.0232551	0.03462546	0.008187631	0.02034397	0.009396414	0.005104634	0.04006341	0.1294173	0.001296336	0.03964116	0.02668188	0.008465299	0.03718423	0.01271295	0.009170412	0.00783115	0.01110919	0.01221697	0.01430955	0.02099888	0.02006095	0.00126729	0.01195403	0.009075328	0.0611932	0.01396916	7.999595e-06	0.005523549	0.03877494	0.01311824	0.004954122	0.1858337	0.003680598	0.03511775	0.01343554	0.03809442	0.003511168	0.0131664	0.02560421	0.005366854	0.03551172	0.008789678	0.01192157	0.1220756	0.05988175	0.0571691	0.01652401	0.008618121	0.01603834	0.01883637	0.005494159	0.04583098	0.00258507	0.00540081	0.01935343	0.04369026	0.02937424	0.009427551	0.007228378	0.0004976558	0.003636037	0.063928	0.05468766	0.03650648	0.05068735	0.01307443	0.02469547	0.04332212	0.008528283	0.04458853	0.02136297	0.04712359
