iter	p__loc1	p__loc2	p__loc3	p__loc4	p__loc5	p__loc6	p__loc7	p__loc8	p__loc9	p__loc10	p__loc11	p__loc12	p__loc13	p__loc14	p__loc15	p__loc16	p__loc17	p__loc18	p__loc19	p__loc20	p__loc21	p__loc22	p__loc23	p__loc24	p__loc25	p__loc26	p__loc27	p__loc28	p__loc29	p__loc30	p__loc31	p__loc32	p__loc33	p__loc34	p__loc35	p__loc36	p__loc37	p__loc38	p__loc39	p__loc40	p__loc41	p__loc42	p__loc43	p__loc44	p__loc45	p__loc46	p__loc47	p__loc48	p__loc49	p__loc50	p__loc51	p__loc52	p__loc53	p__loc54	p__loc55	p__loc56	p__loc57	p__loc58	p__loc59	p__loc60	p__loc61	p__loc62	p__loc63	p__loc64	p__loc65	p__loc66	p__loc67	p__loc68	p__loc69	p__loc70	p__loc71	p__loc72	p__loc73	p__loc74	p__loc75	p__loc76	p__loc77	p__loc78	p__loc79	p__loc80	p__loc81	p__loc82	p__loc83	p__loc84	p__loc85	p__loc86	p__loc87	p__loc88	p__loc89	p__loc90	p__loc91	p__loc92	p__loc93	p__loc94	p__loc95	p__loc96	p__loc97	p__loc98	p__loc99	p__loc100
100	0.05414901	0.01422585	0.07947956	0.05139745	0.07118434	0.05534984	0.04938474	0.07579754	0.05693395	0.0939642	0.04910706	0.1413244	0.07581825	0.08536561	0.09195417	0.08823407	0.02597053	0.06860907	0.04516179	0.05967231	0.04085175	0.06713703	0.06551513	0.1495397	0.06002046	0.0348652	0.05785281	0.04489226	0.02235958	0.05017443	0.04585295	0.0291115	0.009406631	0.03498553	0.102512	0.05645557	0.0653355	0.05098877	0.04178419	0.1236815	0.0173001	0.08212346	0.08124258	0.07552611	0.1368323	0.05747194	0.1298043	0.03327888	0.03634139	0.02869134	0.03453114	0.02121877	0.1092846	0.1064623	0.1227892	0.07368413	0.050538	0.05585254	0.1266054	0.05646514	0.03310623	0.05495195	0.03337192	0.1439621	0.0717225	0.05952603	0.07300769	0.01599971	0.01897582	0.03855852	0.04793329	0.09379716	0.044462	0.1542608	0.04746013	0.07238455	0.1399158	0.1312048	0.05226665	0.01241342	0.05812245	0.1217308	0.05733777	0.1276671	0.06835538	0.04423465	0.03788842	0.01912081	0.05170906	0.05329281	0.03239377	0.06937549	0.08588979	0.04058817	0.04188738	0.01111505	0.0996081	0.02934534	0.07841204	0.06307867
200	0.04221719	0.05784699	0.03036063	0.07207205	0.03857597	0.07446225	0.04170158	0.06789979	0.0388154	0.04148883	0.05406073	0.07349296	0.09373497	0.02145236	0.04543388	0.0643468	0.00563074	0.04687445	0.04767645	0.06217645	0.05648081	0.0429501	0.05885029	0.09273004	0.1142625	0.02442967	0.05233873	0.09890544	0.03279359	0.06534848	0.05102105	0.04287222	0.04954189	0.0135654	0.04275787	0.05044019	0.07073606	0.05208517	0.1081076	0.1374001	0.02286309	0.06116356	0.07225523	0.08161601	0.09280565	0.04392711	0.1112495	0.09148415	0.03951431	0.0266427	0.04798816	0.0316949	0.1052419	0.05296015	0.09616769	0.07447514	0.04290186	0.04798571	0.07757021	0.03845399	0.03241837	0.08071694	0.01533261	0.0864726	0.02649268	0.0727027	0.05249698	0.01463746	0.01201561	0.04522762	0.02943515	0.1044863	0.03231742	0.114479	0.08017659	0.04577779	0.08834307	0.095854	0.0369491	0.07589173	0.07068096	0.0540573	0.08834306	0.1066101	0.09407075	0.05039418	0.05627796	0.05679925	0.04029716	0.1135235	0.07733158	0.1036639	0.05585134	0.05015825	0.06285399	0.04103223	0.0534364	0.04708458	0.09825927	0.06706962
300	0.0285313	0.0344255	0.05042754	0.06292759	0.04817681	0.020503	0.1127	0.06692132	0.05598111	0.0784651	0.05341933	0.1055365	0.02328558	0.07282692	0.04470824	0.02444009	0.02851059	0.07508476	0.06742892	0.08012445	0.04201765	0.05186615	0.03224583	0.1281318	0.0703959	0.06002291	0.02122589	0.03786971	0.031291	0.09665565	0.08273571	0.04888323	0.02873605	0.02209399	0.06272852	0.05346974	0.07331166	0.04912472	0.08722873	0.1073948	0.02617219	0.07962227	0.05269339	0.06414308	0.07903002	0.07095494	0.1004142	0.0435928	0.03732821	0.02786335	0.06263118	0.02894341	0.1233683	0.1026581	0.08706324	0.05202418	0.07427236	0.02828956	0.1289395	0.07304357	0.05776303	0.1081625	0.03150909	0.05885365	0.06387406	0.06079715	0.03805237	0.007700523	0.03111412	0.05317788	0.03466212	0.1318669	0.0378989	0.1056387	0.02444537	0.06181223	0.07818926	0.07743708	0.06286785	0.05645205	0.08086105	0.08227495	0.08839774	0.1124358	0.08692601	0.01889854	0.06409582	0.06339673	0.04437443	0.09571968	0.01702973	0.05817352	0.05552498	0.05164765	0.1136651	0.02233608	0.07599004	0.03422115	0.0573422	0.05374647
400	0.02378038	0.03619769	0.05587107	0.0678828	0.06835358	0.04695768	0.03828988	0.05091599	0.05541721	0.06518692	0.06584511	0.05336843	0.04158891	0.02609116	0.02689056	0.04704474	0.03756529	0.110624	0.0763307	0.09973449	0.04440539	0.04144236	0.02718554	0.1302914	0.05308909	0.05766799	0.06293256	0.01304905	0.03325162	0.07539071	0.1032368	0.04563311	0.01830713	0.03860337	0.1306542	0.04779919	0.05254857	0.06658455	0.06371764	0.07300441	0.05219804	0.06994743	0.05735113	0.05992865	0.1061981	0.09424318	0.1133	0.08142227	0.05864132	0.03169335	0.04625116	0.0171277	0.1267958	0.06975978	0.07618876	0.08765514	0.06535108	0.0114285	0.1160375	0.07277014	0.02795451	0.07666317	0.05922878	0.1209864	0.02339568	0.1125425	0.04269721	0.0187408	0.03584417	0.03639233	0.02588896	0.1139796	0.03123383	0.08364519	0.04727552	0.06102744	0.07301351	0.132254	0.0336934	0.04294755	0.06265602	0.05726352	0.1212966	0.1127185	0.06984418	0.02936778	0.09603113	0.04568175	0.02455071	0.05142044	0.07392914	0.1060418	0.04097503	0.06066317	0.03169508	0.01711351	0.06909934	0.03594341	0.05790309	0.07366738
500	0.01867451	0.02272035	0.02798063	0.05152606	0.07360595	0.04325519	0.03789168	0.1077818	0.06841447	0.06417993	0.04511971	0.07519963	0.07655153	0.04391313	0.04790547	0.05832101	0.01033918	0.06195966	0.06837287	0.05758623	0.04378842	0.03802864	0.06959404	0.09306129	0.05320034	0.03347051	0.036735	0.07262905	0.05705849	0.07868419	0.1016143	0.07884814	0.04091262	0.03018533	0.08414366	0.07915654	0.07692487	0.03877552	0.09092461	0.1076394	0.02928914	0.1220287	0.070566	0.05746291	0.1048544	0.05441215	0.1130747	0.04249565	0.03194986	0.02945192	0.07411797	0.05135767	0.08909553	0.117619	0.09671393	0.05381062	0.07480348	0.05484234	0.1265034	0.05858671	0.02566565	0.04067259	0.04613125	0.06505647	0.06051649	0.100467	0.04288586	0.02290356	0.04472966	0.06926954	0.05735563	0.1238633	0.07720975	0.04713322	0.07565876	0.06241474	0.09727481	0.112098	0.04058931	0.04756356	0.05702952	0.06466652	0.08975135	0.09060873	0.08210999	0.04305575	0.05871604	0.05255669	0.07067724	0.0696073	0.05760843	0.1117901	0.03468268	0.03817002	0.06781818	0.0557222	0.06038023	0.02993326	0.05543525	0.0636637
600	0.05606007	0.02264207	0.02749517	0.04056072	0.03464165	0.07351674	0.06228535	0.08658286	0.06045549	0.0821091	0.05048636	0.113831	0.0471512	0.06270394	0.02583772	0.07701778	0.0503758	0.07007504	0.04226543	0.04635587	0.03588946	0.04967272	0.02378658	0.09282184	0.1086471	0.04465811	0.06886878	0.05618046	0.03731481	0.06307602	0.04190964	0.0523405	0.04079362	0.0201016	0.07312361	0.02699626	0.1089507	0.08930871	0.05187722	0.1009051	0.02883196	0.08388952	0.05770804	0.08337938	0.1247324	0.08145376	0.1443737	0.06282907	0.03064939	0.08058737	0.02047938	0.02154729	0.09449553	0.1358452	0.06719196	0.0288591	0.02752733	0.04042999	0.1199318	0.0498041	0.03915045	0.1308399	0.03717905	0.08876246	0.03039135	0.07014451	0.05227083	0.05181766	0.06234479	0.106166	0.05701742	0.1064297	0.02070128	0.1244568	0.07827847	0.06873724	0.1427503	0.14903	0.07870871	0.059985	0.06998517	0.1038688	0.04018719	0.08293945	0.04119187	0.0354199	0.1140688	0.03261067	0.02892255	0.05421319	0.03608188	0.08122516	0.0505072	0.04085844	0.0812735	0.06199944	0.07002901	0.05199674	0.09153778	0.04282874
700	0.04996029	0.008514273	0.05783555	0.06624709	0.04779611	0.03115347	0.05789061	0.03305901	0.05668157	0.09205427	0.0609555	0.1168685	0.04203077	0.05267992	0.05163439	0.0368527	0.0356334	0.04809649	0.05712571	0.04023853	0.04941086	0.03540279	0.04109193	0.1395889	0.08408243	0.02473746	0.01140172	0.09232258	0.03980732	0.1005628	0.03165748	0.043368	0.05191301	0.1024886	0.06641917	0.05302928	0.07743166	0.04722209	0.07890666	0.0960917	0.03274971	0.07470189	0.101471	0.09135849	0.1210443	0.06725369	0.1305439	0.03327317	0.03834596	0.02559291	0.05493875	0.04314185	0.05967385	0.07755732	0.09538977	0.04920646	0.05315127	0.06992518	0.08891629	0.06161366	0.02225418	0.07028872	0.01164016	0.1359585	0.02975451	0.08881784	0.05779997	0.03578426	0.0414146	0.1067189	0.02486114	0.1161875	0.0489153	0.07358845	0.165249	0.07325946	0.1260797	0.1425611	0.03471566	0.06279298	0.06990899	0.0394009	0.1272218	0.07211332	0.05630034	0.03737337	0.03651203	0.07699232	0.06058079	0.02348536	0.06382654	0.07809093	0.08914775	0.05229152	0.04927544	0.02970133	0.06280035	0.05050146	0.05331132	0.06911849
800	0.0368785	0.04381536	0.04971036	0.06164134	0.06402213	0.1026482	0.06115151	0.05507103	0.09020407	0.09337298	0.03799874	0.1009187	0.0351633	0.01676881	0.04767659	0.04924705	0.01103594	0.04948481	0.1052917	0.03913572	0.03496327	0.0583192	0.03378459	0.08516302	0.1259762	0.05067814	0.03562587	0.0832462	0.01619652	0.1328336	0.07678274	0.05889876	0.05427702	0.04713454	0.06766659	0.06644233	0.05614887	0.05010792	0.1365575	0.06755852	0.0202351	0.1358548	0.0887119	0.05528102	0.1093997	0.06537955	0.08049942	0.08884177	0.04788785	0.01142995	0.04285385	0.05428015	0.1136435	0.09093443	0.09671628	0.06146678	0.02149287	0.009182011	0.1445257	0.04720405	0.0174023	0.07920134	0.04727862	0.0614682	0.0369363	0.1025515	0.03558723	0.03031732	0.03629086	0.03579465	0.05311816	0.07243628	0.0792179	0.08031741	0.05802762	0.09648426	0.1385036	0.08613324	0.06920711	0.05939659	0.0449776	0.1032681	0.09976485	0.1553334	0.02246157	0.01969731	0.05712994	0.07919057	0.0265607	0.06666294	0.06377062	0.09644784	0.04999865	0.04466349	0.05403381	0.01170915	0.1106393	0.03791401	0.09734837	0.0745638
900	0.04655838	0.04992471	0.04721605	0.03096193	0.0808039	0.05121202	0.1006981	0.1074618	0.0695563	0.1191877	0.02626869	0.07991725	0.04543784	0.03873713	0.04031142	0.06862188	0.02121636	0.04869088	0.07751887	0.02294209	0.03727975	0.05019282	0.06941701	0.1093999	0.06125418	0.01584652	0.02431012	0.02651812	0.02254147	0.04488754	0.07748596	0.08067262	0.02031831	0.05604995	0.07050102	0.1044749	0.0544826	0.07789598	0.03590853	0.06638213	0.04124223	0.1138639	0.04618221	0.06731026	0.138906	0.05086563	0.1306925	0.03676651	0.03543971	0.0140385	0.06158622	0.01023516	0.09148431	0.103444	0.1703339	0.0550547	0.02980757	0.05563615	0.1059011	0.0230753	0.03483086	0.0408817	0.04429811	0.06681394	0.05760249	0.03844589	0.01790694	0.06178381	0.03842259	0.08091994	0.05386961	0.1331239	0.06592151	0.1141589	0.07618595	0.06935926	0.1281741	0.1398479	0.0283212	0.0504611	0.05120058	0.07689469	0.04868787	0.1080972	0.07026989	0.01284756	0.1376817	0.1013964	0.03974354	0.04649925	0.03016569	0.1040763	0.06296852	0.02869738	0.0305677	0.0180724	0.06541168	0.073549	0.07032678	0.0843245
1000	0.02577288	0.04053797	0.0638951	0.04231054	0.04914021	0.1697803	0.08440779	0.08486763	0.0866679	0.09138311	0.05315873	0.06177688	0.05676632	0.02602344	0.04860411	0.07232762	0.04117598	0.04964649	0.05212168	0.02761072	0.08533314	0.06928993	0.07547601	0.09925179	0.07436631	0.03039358	0.06441607	0.03728772	0.03204238	0.05814857	0.07920718	0.06079841	0.05078322	0.03105337	0.05763062	0.05521766	0.06826264	0.03876541	0.1096139	0.1113291	0.0602931	0.0837529	0.06950364	0.07813733	0.1091493	0.1027059	0.1200605	0.04609532	0.04698394	0.01638831	0.04510069	0.0411154	0.113647	0.07664503	0.1132778	0.1062321	0.03868464	0.06889794	0.1020341	0.07549694	0.03539703	0.06271306	0.04555111	0.05186806	0.08023161	0.06603992	0.02991622	0.04558616	0.03033388	0.06139828	0.03513753	0.1275309	0.0742251	0.1048823	0.07058889	0.02037603	0.06387191	0.1027849	0.02964302	0.08631689	0.0591858	0.05829316	0.1061756	0.1154345	0.08689235	0.03328823	0.07006138	0.03715324	0.04124694	0.04897699	0.06942577	0.07018297	0.06308581	0.05381761	0.05982201	0.07467971	0.07245462	0.04817342	0.07333568	0.08550449
