Frequency	Coverage	Num_Ind	rep1	rep2	rep3	rep4	rep5	rep6	rep7	rep8	rep9	rep10	rep11	rep12	rep13	rep14	rep15	rep16	rep17	rep18	rep19	rep20	rep21	rep22	rep23	rep24	rep25	rep26	rep27	rep28	rep29	rep30	rep31	rep32	rep33	rep34	rep35	rep36	rep37	rep38	rep39	rep40	rep41	rep42	rep43	rep44	rep45	rep46	rep47	rep48	rep49	rep50	rep51	rep52	rep53	rep54	rep55	rep56	rep57	rep58	rep59	rep60	rep61	rep62	rep63	rep64	rep65	rep66	rep67	rep68	rep69	rep70	rep71	rep72	rep73	rep74	rep75	rep76	rep77	rep78	rep79	rep80	rep81	rep82	rep83	rep84	rep85	rep86	rep87	rep88	rep89	rep90	rep91	rep92	rep93	rep94	rep95	rep96	rep97	rep98	rep99	rep100
f20	5x	5ind	0.2694586	0.2846614	0.3749482	0.192623	0.2012893	0.05846124	0.3271679	0.2672664	0.2465051	0.0651173	0.3529029	0.5128412	0.3734029	0.1235779	0.1909138	0.3170457	0.2301886	0.2366235	0.255357	0.5286437	0.1685272	0.3745439	0.1047564	0.3435435	0.3791496	0.1570534	0.226238	0.3876083	0.1492879	0.1544667	0.1299224	0.369188	0.2870496	0.3415818	0.394045	0.1984347	0.2228	0.4205272	0.1729394	0.09005454	0.1483313	0.2886763	0.2987387	0.4416931	0.2128639	0.2683717	0.2837642	0.2493165	0.1874697	0.2840399	0.2118312	0.1893492	0.3272125	0.2922514	0.2344519	0.1374486	0.1019383	0.2687166	0.2015928	0.2644721	0.2462073	0.4162228	0.1462007	0.1702239	0.377087	0.2021236	0.04793068	0.3395758	0.2762749	0.270837	0.1334956	0.4081179	0.178004	0.2019123	0.3246476	0.1354317	0.2511276	0.1602893	0.1417289	0.2320418	0.4180909	0.1992641	0.3876231	0.2511981	0.2180249	0.1429379	0.169583	0.319655	0.2263945	0.2566365	0.1027535	0.3281953	0.2679381	0.1711337	0.2310011	0.2528258	0.1545783	0.2231274	0.1773336	0.3300359
f20	5x	10ind	0.234915	0.1961425	0.2064389	0.265784	0.2614253	0.2014865	0.1308605	0.2327912	0.2313468	0.2617356	0.1778863	0.3205305	0.3089135	0.08776054	0.06326998	0.08805343	0.3153678	0.1070828	0.1887125	0.3085919	0.2375361	0.1926378	0.247658	0.2197181	0.2413492	0.1916318	0.2344588	0.2310112	0.1644046	0.2030925	0.1284422	0.3088994	0.259424	0.2177603	0.1436288	0.300572	0.3551071	0.1476146	0.132641	0.2890497	0.1870197	0.3261931	0.2706733	0.2133814	0.2057226	0.1813094	0.1575159	0.1990206	0.2763813	0.1719081	0.2764913	0.1687708	0.2606948	0.08492815	0.1643923	0.2042917	0.2400862	0.2628967	0.1953929	0.2123888	0.2545369	0.2102409	0.2468251	0.150343	0.2516575	0.1836646	0.3113105	0.2285013	0.1995495	0.2247351	0.1255203	0.2624536	0.1880256	0.3858516	0.1387279	0.3095871	0.2854398	0.2822115	0.1893253	0.3201856	0.1608892	0.158997	0.1483922	0.1612695	0.1539812	0.2880563	0.1787622	0.3000246	0.1144974	0.190754	0.23167	0.2810192	0.1393595	0.3281382	0.1812696	0.2848422	0.1632151	0.152491	0.1713505	0.1387145
f20	5x	20ind	0.2851222	0.2350487	0.1717634	0.141597	0.1384804	0.2725324	0.1386768	0.1471105	0.1597143	0.148769	0.1826507	0.1603153	0.20986	0.3149315	0.171442	0.2484722	0.1533533	0.2284138	0.1763042	0.1416478	0.22276	0.1798552	0.278599	0.3900556	0.2558635	0.1747349	0.1872949	0.150331	0.1931483	0.1898968	0.1939646	0.2015276	0.1932245	0.2108218	0.1700701	0.1840818	0.128979	0.2690419	0.2683622	0.2172965	0.2848109	0.2863747	0.1500505	0.2288061	0.2155134	0.2068939	0.1594239	0.2610136	0.1772746	0.2451703	0.1366924	0.2767156	0.2227982	0.1892942	0.2888532	0.1939116	0.2117054	0.2658045	0.1591269	0.1973357	0.1699119	0.1896976	0.09967032	0.2032017	0.2401304	0.1455338	0.1625613	0.2435025	0.229182	0.2861672	0.2711834	0.1987186	0.1774312	0.2551039	0.1445742	0.1578453	0.1488976	0.1762397	0.1701911	0.3121229	0.1689128	0.248458	0.2586342	0.2364052	0.2161841	0.203434	0.2220184	0.2494143	0.119317	0.1769327	0.3100753	0.2171451	0.1745233	0.1760999	0.2299327	0.2413941	0.2124568	0.2362185	0.2724662	0.2369156
f20	5x	30ind	0.2881138	0.2206106	0.1355631	0.1482854	0.2236572	0.1686713	0.1739055	0.236827	0.1869042	0.2877684	0.2049737	0.2141868	0.2221738	0.2013959	0.1760228	0.104863	0.2905325	0.1854681	0.1727504	0.2255694	0.2059744	0.1911354	0.2033656	0.1867754	0.2847532	0.200141	0.2167736	0.1907346	0.2005667	0.1575817	0.2966366	0.1799884	0.2158576	0.2590588	0.2008119	0.1817238	0.2475456	0.2301402	0.2478448	0.2205808	0.2448267	0.1857984	0.203701	0.1949275	0.2635545	0.2114841	0.1733409	0.2101455	0.2935709	0.2860079	0.2039934	0.1851983	0.1822064	0.1509413	0.29685	0.2563099	0.2333416	0.1871834	0.1092195	0.2766529	0.1721101	0.2051352	0.1980863	0.1994117	0.2404376	0.2284357	0.3123391	0.2039698	0.1722207	0.248996	0.1623465	0.3007553	0.2607839	0.2526788	0.2318488	0.2150778	0.2722934	0.2209417	0.1367989	0.2116957	0.2143123	0.2346849	0.2271031	0.2265297	0.2170296	0.1655854	0.2779903	0.1861922	0.1491695	0.3261169	0.1759853	0.2643431	0.2310978	0.1611007	0.2516049	0.1890934	0.2221378	0.1643269	0.2263249	0.2150762
f20	10x	5ind	0.1048345	0.2212751	0.07382545	0.1417325	0.2328402	0.2999412	0.2606696	0.1242431	0.2006005	0.2078088	0.2321583	0.2789897	0.3005694	0.1273717	0.3047919	0.2737732	0.3344014	0.330138	0.2228316	0.3090305	0.1867693	0.06011653	0.137789	0.2274281	0.1892275	0.380301	0.1729327	0.1971868	0.2851722	0.1541457	0.1874981	0.2379954	0.378071	0.3646686	0.2822219	0.323922	0.1250971	0.3571634	0.1105189	0.3484372	0.2490819	0.1403466	0.1422199	0.1517549	0.2029913	0.1592825	0.322915	0.2552179	0.2118767	0.1866613	0.254448	0.1073595	0.1651828	0.1003037	0.1605372	0.4865492	0.1753693	0.3130617	0.2862953	0.1039017	0.1601797	0.3318561	0.1426209	0.1726122	0.1934585	0.2246948	0.2165881	0.2014869	0.2170423	0.0977646	0.2693936	0.245994	0.1168938	0.3418038	0.1291034	0.08447677	0.2590768	0.2812413	0.2597968	0.3166691	0.3533338	0.191305	0.09891623	0.1802298	0.2290592	0.2283531	0.2096448	0.2162329	0.2549936	0.2780873	0.2906287	0.2796423	0.2769628	0.2551242	0.2745922	0.2676186	0.1933359	0.2249408	0.05841132	0.1911787
f20	10x	10ind	0.3138003	0.1186352	0.1833703	0.2764484	0.2379228	0.2307356	0.250633	0.3676614	0.1634425	0.1523573	0.2522537	0.2420517	0.1350509	0.2495384	0.2383364	0.127002	0.1569727	0.288776	0.3191259	0.3579747	0.1529499	0.09716589	0.1762121	0.2827185	0.1669816	0.2211832	0.1997833	0.2809804	0.2224259	0.2682293	0.2713897	0.2340742	0.3569831	0.1065881	0.1930273	0.2674126	0.2332723	0.2417174	0.156503	0.1889316	0.2241085	0.2642558	0.06783509	0.2215845	0.1684964	0.2948943	0.2064555	0.2000057	0.1383716	0.1931237	0.2353447	0.2165593	0.205502	0.1675677	0.4023645	0.250334	0.1695991	0.2427213	0.1977597	0.1522705	0.1878984	0.3593425	0.2472159	0.2227612	0.3015281	0.2320783	0.1624593	0.2373805	0.1407921	0.3488946	0.3012884	0.2422763	0.2571498	0.1657708	0.1672772	0.2859277	0.1771284	0.2386431	0.2193885	0.151374	0.176739	0.1866562	0.198866	0.2410325	0.1358518	0.2133947	0.2499282	0.1978604	0.1872541	0.1401863	0.2394065	0.2768165	0.2940319	0.2629917	0.1803473	0.150401	0.1667545	0.2349159	0.1466826	0.2245799
f20	10x	20ind	0.1887474	0.1753097	0.1962294	0.1878293	0.1823387	0.2080363	0.2517108	0.2233969	0.1726573	0.1760557	0.3209903	0.2465031	0.107738	0.2080479	0.2565637	0.2321916	0.1701542	0.2532747	0.2306652	0.2582725	0.196102	0.2138779	0.1912239	0.2792901	0.2686581	0.2466806	0.2256917	0.1910313	0.2121124	0.31304	0.2008119	0.1595545	0.2075391	0.2168513	0.2667228	0.2170533	0.1386403	0.2505812	0.2912586	0.1772637	0.2015487	0.1543817	0.1901073	0.2372721	0.2594649	0.2979596	0.2271011	0.1679944	0.1195928	0.2322901	0.206777	0.2219991	0.1679715	0.152967	0.1788976	0.2231228	0.2057446	0.2465279	0.2013161	0.3495831	0.2542589	0.1017378	0.2372342	0.2242214	0.3012957	0.1732513	0.1720576	0.1851292	0.1481883	0.2124291	0.1498415	0.1937412	0.2045531	0.2420205	0.2847781	0.1489954	0.1861911	0.1535215	0.2031273	0.1608873	0.1967848	0.2203258	0.1998909	0.2378857	0.1858269	0.153478	0.1732107	0.1972357	0.1623925	0.1528683	0.204762	0.228623	0.1882175	0.2511393	0.1902829	0.2179846	0.2204195	0.2593488	0.2042718	0.1914994
f20	10x	30ind	0.1308123	0.1959151	0.2516538	0.2118432	0.2148913	0.1500726	0.1655201	0.1953769	0.2009135	0.2030689	0.1136079	0.1925509	0.248077	0.2355077	0.254482	0.2075388	0.2067138	0.1724735	0.1486455	0.2010655	0.1871434	0.1962131	0.2858142	0.2032345	0.2949967	0.2622572	0.2334494	0.1586524	0.2175277	0.1736322	0.1949915	0.1767301	0.1446842	0.2202559	0.2487964	0.1930205	0.2284475	0.1779104	0.1880328	0.1744072	0.2204844	0.1928872	0.1793756	0.1824744	0.1686851	0.1887566	0.187506	0.2182818	0.207648	0.1963692	0.2411737	0.265434	0.2151123	0.2141392	0.1622408	0.1914904	0.224132	0.206767	0.1576845	0.1914935	0.2624202	0.1345706	0.1833222	0.1939913	0.2056019	0.1976796	0.2064945	0.2662764	0.1867038	0.1946708	0.1698734	0.2077186	0.166282	0.2351391	0.1584541	0.2341817	0.2053902	0.2663032	0.184385	0.1679247	0.2359155	0.1805929	0.2107879	0.205871	0.1949388	0.1928972	0.2402124	0.1890705	0.1782558	0.1997336	0.2178262	0.2475832	0.1297199	0.2049849	0.1968124	0.2357644	0.1778363	0.2319617	0.1772139	0.1771626
f20	15x	5ind	0.1361823	0.2351322	0.1039645	0.2580941	0.2789372	0.2112344	0.2127388	0.1765857	0.1703872	0.1428763	0.1195949	0.08035738	0.2068239	0.2950412	0.3036224	0.2890909	0.1573531	0.3166636	0.1978049	0.3806255	0.2501661	0.236452	0.1055046	0.2167291	0.2135539	0.1415073	0.3041085	0.1955202	0.1778336	0.2833901	0.2914484	0.1341046	0.3909934	0.1680857	0.1993528	0.1989623	0.1399518	0.1560368	0.228621	0.3797992	0.3518666	0.1619291	0.1612943	0.2551713	0.2886604	0.3998686	0.2225963	0.2502125	0.1534443	0.2228867	0.1971327	0.07177061	0.1528502	0.1316554	0.2857559	0.1549831	0.1911383	0.1801974	0.2989802	0.1979157	0.296394	0.2191825	0.3253441	0.3883922	0.3245675	0.1274982	0.1570758	0.1489274	0.2528014	0.08729758	0.1737756	0.1489931	0.1459077	0.3542069	0.2485497	0.1953884	0.1248357	0.3295916	0.2493662	0.2922679	0.1915347	0.2252423	0.10203	0.1606732	0.2255266	0.03553789	0.1651468	0.206343	0.1469553	0.1837429	0.1769244	0.3687619	0.1205239	0.1787663	0.2499674	0.1583186	0.3999359	0.1525439	0.2814031	0.2076838
f20	15x	10ind	0.1493773	0.1816493	0.1512326	0.2175498	0.2711399	0.184686	0.2051933	0.1686466	0.3039401	0.1584197	0.1314338	0.07226584	0.35409	0.3287224	0.1636368	0.1802133	0.3251588	0.1298407	0.1648036	0.2534953	0.2671437	0.2612883	0.22092	0.1668349	0.1332281	0.1275773	0.1791801	0.2329323	0.2264525	0.2441917	0.2255329	0.381627	0.1602534	0.2128035	0.2424431	0.1921167	0.1885263	0.1428349	0.2020153	0.2462518	0.160178	0.1576927	0.2556765	0.1930954	0.1189584	0.2464347	0.3353597	0.2769645	0.2073619	0.2033967	0.3646955	0.3014845	0.2422805	0.1939527	0.1863016	0.1549841	0.2068848	0.2474446	0.2608449	0.1492945	0.3163752	0.4029859	0.1017803	0.1410899	0.2152771	0.2177689	0.2344909	0.3310086	0.136585	0.227385	0.2611098	0.1655259	0.2327335	0.1539731	0.2018228	0.1225246	0.1821771	0.1906632	0.2381024	0.2016414	0.1998942	0.1207979	0.2296439	0.2319136	0.3070424	0.2834418	0.1726449	0.1773375	0.1627211	0.1825105	0.2143621	0.2533902	0.2262968	0.1928192	0.2574001	0.313662	0.1760463	0.2685649	0.2069153	0.2461512
