iter 	 p
500 	 0.2797663 
1000 	 0.2583966 
1500 	 0.3327553 
2000 	 0.3601173 
2500 	 0.3007639 
3000 	 0.2158809 
3500 	 0.2327094 
4000 	 0.2336105 
4500 	 0.2815814 
5000 	 0.2184972 
5500 	 0.3360619 
6000 	 0.3690989 
6500 	 0.2694693 
7000 	 0.4407789 
7500 	 0.316608 
8000 	 0.2908233 
8500 	 0.3082631 
9000 	 0.2908136 
9500 	 0.2748659 
10000 	 0.3622869 
10500 	 0.4066736 
11000 	 0.3711061 
11500 	 0.3327529 
12000 	 0.3581095 
12500 	 0.2353753 
13000 	 0.2446352 
13500 	 0.3221824 
14000 	 0.346782 
14500 	 0.3636773 
15000 	 0.4070429 
15500 	 0.2963407 
16000 	 0.3072293 
16500 	 0.3654871 
17000 	 0.3288282 
17500 	 0.340403 
18000 	 0.3385579 
18500 	 0.3795535 
19000 	 0.2498398 
19500 	 0.2991731 
20000 	 0.3404066 
20500 	 0.3682779 
21000 	 0.3421773 
21500 	 0.316933 
22000 	 0.3959298 
22500 	 0.3498469 
23000 	 0.3320465 
23500 	 0.2930574 
24000 	 0.3484429 
24500 	 0.4415682 
25000 	 0.3231627 
25500 	 0.2397466 
26000 	 0.3870047 
26500 	 0.1850937 
27000 	 0.2537415 
27500 	 0.3350087 
28000 	 0.2457782 
28500 	 0.3146912 
29000 	 0.3431763 
29500 	 0.3272995 
30000 	 0.2779288 
30500 	 0.4292273 
31000 	 0.1929939 
31500 	 0.3442859 
32000 	 0.2481736 
32500 	 0.3634122 
33000 	 0.3205038 
33500 	 0.2802443 
34000 	 0.3436596 
34500 	 0.3315353 
35000 	 0.2560842 
35500 	 0.3210762 
36000 	 0.4324142 
36500 	 0.2455096 
37000 	 0.3839968 
37500 	 0.316963 
38000 	 0.3627867 
38500 	 0.3111376 
39000 	 0.3182087 
39500 	 0.3332156 
40000 	 0.2697707 
40500 	 0.3712832 
41000 	 0.322874 
41500 	 0.2119904 
42000 	 0.2596973 
42500 	 0.3412801 
43000 	 0.4207174 
43500 	 0.2151502 
44000 	 0.3305642 
44500 	 0.3353053 
45000 	 0.3324231 
45500 	 0.2568463 
46000 	 0.2475656 
46500 	 0.2461099 
47000 	 0.3781097 
47500 	 0.2234456 
48000 	 0.3152981 
48500 	 0.2726536 
49000 	 0.2891363 
49500 	 0.3710285 
50000 	 0.2453131 
50500 	 0.3484348 
51000 	 0.3215867 
51500 	 0.3040826 
52000 	 0.2822304 
52500 	 0.2964742 
53000 	 0.3275196 
53500 	 0.2890439 
54000 	 0.2725868 
54500 	 0.3970602 
55000 	 0.361704 
55500 	 0.2338679 
56000 	 0.341576 
56500 	 0.3125547 
57000 	 0.2378167 
57500 	 0.2871806 
58000 	 0.321296 
58500 	 0.378809 
59000 	 0.3035761 
59500 	 0.3265896 
60000 	 0.3305733 
60500 	 0.3161961 
61000 	 0.4054899 
61500 	 0.374055 
62000 	 0.3085763 
62500 	 0.2438156 
63000 	 0.3347888 
63500 	 0.3135271 
64000 	 0.2751299 
64500 	 0.4161075 
65000 	 0.3149066 
65500 	 0.3449362 
66000 	 0.2732784 
66500 	 0.2810898 
67000 	 0.3245703 
67500 	 0.3875925 
68000 	 0.3769714 
68500 	 0.2393269 
69000 	 0.3383032 
69500 	 0.3723679 
70000 	 0.3652963 
70500 	 0.2887371 
71000 	 0.249968 
71500 	 0.3446919 
72000 	 0.2835584 
72500 	 0.3330476 
73000 	 0.3065899 
73500 	 0.2919424 
74000 	 0.3689322 
74500 	 0.2948169 
75000 	 0.2681752 
75500 	 0.3871873 
76000 	 0.2857166 
76500 	 0.3069095 
77000 	 0.474017 
77500 	 0.3243129 
78000 	 0.2067117 
78500 	 0.2163263 
79000 	 0.3060497 
79500 	 0.2954214 
80000 	 0.3858789 
80500 	 0.3686268 
81000 	 0.343555 
81500 	 0.2985218 
82000 	 0.3974196 
82500 	 0.3481351 
83000 	 0.3619238 
83500 	 0.3277887 
84000 	 0.2770734 
84500 	 0.3253029 
85000 	 0.365481 
85500 	 0.3002918 
86000 	 0.4059477 
86500 	 0.3102866 
87000 	 0.2508285 
87500 	 0.3798952 
88000 	 0.3596255 
88500 	 0.3120436 
89000 	 0.2435054 
89500 	 0.2871546 
90000 	 0.3387077 
90500 	 0.4304608 
91000 	 0.2896469 
91500 	 0.2543229 
92000 	 0.2929698 
92500 	 0.2892816 
93000 	 0.3084878 
93500 	 0.2918393 
94000 	 0.3480532 
94500 	 0.300312 
95000 	 0.3237683 
95500 	 0.2741023 
96000 	 0.3478031 
96500 	 0.3648292 
97000 	 0.2727243 
97500 	 0.3681737 
98000 	 0.369358 
98500 	 0.4245841 
99000 	 0.3800896 
99500 	 0.4176259 
100000 	 0.3183478 
100500 	 0.2671059 
101000 	 0.4253221 
101500 	 0.4107901 
102000 	 0.3258065 
102500 	 0.3776505 
103000 	 0.4242931 
103500 	 0.3320668 
104000 	 0.271198 
104500 	 0.3445638 
105000 	 0.2389645 
105500 	 0.3836653 
106000 	 0.3694963 
106500 	 0.3783241 
107000 	 0.3194075 
107500 	 0.2672919 
108000 	 0.2401663 
108500 	 0.3187007 
109000 	 0.2619559 
109500 	 0.3165613 
110000 	 0.3387177 
110500 	 0.334039 
111000 	 0.2209271 
111500 	 0.3269055 
112000 	 0.2593658 
112500 	 0.3650503 
113000 	 0.3263487 
113500 	 0.4025054 
114000 	 0.277022 
114500 	 0.3456494 
115000 	 0.3368942 
115500 	 0.2913925 
116000 	 0.3377668 
116500 	 0.358085 
117000 	 0.3664934 
117500 	 0.3820295 
118000 	 0.2756811 
118500 	 0.2412898 
119000 	 0.247794 
119500 	 0.4321106 
120000 	 0.3353403 
120500 	 0.2757745 
121000 	 0.2328935 
121500 	 0.3823969 
122000 	 0.3297238 
122500 	 0.2365519 
123000 	 0.3397239 
123500 	 0.1643437 
124000 	 0.3188356 
124500 	 0.399016 
125000 	 0.3061246 
125500 	 0.32385 
126000 	 0.3218483 
126500 	 0.4746837 
127000 	 0.3190295 
127500 	 0.3540075 
128000 	 0.273864 
128500 	 0.2550944 
129000 	 0.3207711 
129500 	 0.3145144 
130000 	 0.3014034 
130500 	 0.3474623 
131000 	 0.3310016 
131500 	 0.2835939 
132000 	 0.3040031 
132500 	 0.3646 
133000 	 0.3253743 
133500 	 0.3779612 
134000 	 0.3124891 
134500 	 0.3229548 
135000 	 0.2785659 
135500 	 0.3070162 
136000 	 0.2691092 
136500 	 0.3445744 
137000 	 0.2614598 
137500 	 0.2816576 
138000 	 0.3185625 
138500 	 0.3257552 
139000 	 0.3440171 
139500 	 0.3916343 
140000 	 0.3102349 
140500 	 0.3301908 
141000 	 0.3387268 
141500 	 0.3862979 
142000 	 0.3477885 
142500 	 0.299595 
143000 	 0.4157676 
143500 	 0.3606224 
144000 	 0.359605 
144500 	 0.2809914 
145000 	 0.258709 
145500 	 0.3652196 
146000 	 0.3455908 
146500 	 0.4275252 
147000 	 0.3705507 
147500 	 0.330273 
148000 	 0.3706781 
148500 	 0.3064824 
149000 	 0.3071437 
149500 	 0.3254381 
150000 	 0.2909115 
150500 	 0.3427022 
151000 	 0.3057251 
151500 	 0.2665219 
152000 	 0.3357149 
152500 	 0.3021406 
153000 	 0.2494981 
153500 	 0.3927571 
154000 	 0.3357479 
154500 	 0.3716682 
155000 	 0.3265306 
155500 	 0.4241182 
156000 	 0.3406571 
156500 	 0.2853702 
157000 	 0.3271981 
157500 	 0.3210058 
158000 	 0.2496408 
158500 	 0.2903439 
159000 	 0.3813769 
159500 	 0.2957893 
160000 	 0.2642903 
160500 	 0.359166 
161000 	 0.278866 
161500 	 0.2449756 
162000 	 0.3057135 
162500 	 0.3048148 
163000 	 0.3120581 
163500 	 0.2633141 
164000 	 0.2830903 
164500 	 0.2752397 
165000 	 0.2449843 
165500 	 0.2321792 
166000 	 0.3061161 
166500 	 0.2674976 
167000 	 0.3212701 
167500 	 0.3176139 
168000 	 0.3125566 
168500 	 0.2788398 
169000 	 0.3439714 
169500 	 0.3284239 
170000 	 0.3074599 
170500 	 0.280106 
171000 	 0.355896 
