Frequency	Coverage	Num_Ind	rep1	rep2	rep3	rep4	rep5	rep6	rep7	rep8	rep9	rep10	rep11	rep12	rep13	rep14	rep15	rep16	rep17	rep18	rep19	rep20	rep21	rep22	rep23	rep24	rep25	rep26	rep27	rep28	rep29	rep30	rep31	rep32	rep33	rep34	rep35	rep36	rep37	rep38	rep39	rep40	rep41	rep42	rep43	rep44	rep45	rep46	rep47	rep48	rep49	rep50	rep51	rep52	rep53	rep54	rep55	rep56	rep57	rep58	rep59	rep60	rep61	rep62	rep63	rep64	rep65	rep66	rep67	rep68	rep69	rep70	rep71	rep72	rep73	rep74	rep75	rep76	rep77	rep78	rep79	rep80	rep81	rep82	rep83	rep84	rep85	rep86	rep87	rep88	rep89	rep90	rep91	rep92	rep93	rep94	rep95	rep96	rep97	rep98	rep99	rep100
f20	5x	5ind	0.1509403	0.2210201	0.2355816	0.1750156	0.2034985	0.2969905	0.29579	0.3381858	0.3207689	0.1267578	0.2749068	0.2042254	0.2145876	0.1891408	0.2582028	0.1469672	0.2020985	0.2641653	0.2575315	0.1129362	0.2851857	0.1241948	0.3244651	0.3535926	0.1109699	0.1596342	0.07894665	0.2942212	0.2126212	0.2259954	0.4317166	0.3287418	0.387902	0.2008666	0.2336123	0.3892164	0.2531488	0.3919248	0.1685692	0.2574899	0.2486084	0.2179039	0.3755724	0.2991477	0.05613983	0.3129849	0.09934749	0.3065005	0.2969932	0.2787926	0.290217	0.2162507	0.1168783	0.1066276	0.3764819	0.163072	0.1890773	0.1127194	0.1678588	0.1957388	0.2716609	0.1728597	0.2343909	0.4555668	0.1384186	0.2217921	0.1947343	0.4301717	0.1887817	0.3681888	0.1908293	0.1717661	0.3221022	0.1190228	0.3648729	0.2910404	0.2469362	0.3199505	0.2065477	0.386876	0.06535112	0.2223624	0.1801013	0.4415198	0.1934415	0.19867	0.1617641	0.4172069	0.1903129	0.3291434	0.2717603	0.4518733	0.2174694	0.1381857	0.0572115	0.3853876	0.1478614	0.2219461	0.3443923	0.2721864
f20	5x	10ind	0.2167715	0.2655727	0.1601098	0.2119425	0.4013758	0.1472805	0.1712301	0.1509789	0.3191411	0.3858791	0.1533692	0.1403702	0.3313518	0.1358161	0.1685479	0.2542631	0.402898	0.1928846	0.2647625	0.2284806	0.12059	0.1011091	0.09704847	0.2381676	0.1524037	0.1953924	0.1100751	0.1411005	0.1494649	0.2253201	0.2450575	0.1682696	0.2377992	0.2167396	0.2010199	0.1490814	0.2777794	0.2344874	0.3468133	0.3641846	0.2933283	0.1765362	0.1644082	0.3910695	0.1996102	0.1509012	0.2334558	0.2242585	0.2142132	0.4073715	0.1759874	0.2197105	0.2220732	0.1749178	0.3652474	0.2199834	0.2335007	0.1498671	0.1819661	0.1625519	0.1333618	0.1691522	0.180801	0.09229204	0.2242232	0.2035639	0.1831586	0.1549095	0.2032026	0.1862275	0.1273262	0.2899143	0.2354862	0.2018162	0.2434692	0.303604	0.1485941	0.2387405	0.2398657	0.2901417	0.2936775	0.244852	0.2014388	0.1614707	0.4089368	0.07382196	0.2657478	0.2234925	0.1970493	0.2167177	0.3495652	0.199355	0.1103999	0.2505437	0.2210389	0.3194079	0.09794357	0.3873208	0.2589835	0.2753812
f20	5x	20ind	0.1829423	0.3558527	0.2430392	0.2002208	0.205522	0.1223557	0.135448	0.2437145	0.2472268	0.1166787	0.2133394	0.2354291	0.2179757	0.1982254	0.1439976	0.2406048	0.2502004	0.2206234	0.1504642	0.1810709	0.1591481	0.2299009	0.1117816	0.2244737	0.2284602	0.1399196	0.0769222	0.1300721	0.2786631	0.251877	0.1574206	0.192557	0.2065582	0.3105237	0.218407	0.1876206	0.2315818	0.1496123	0.2012665	0.1693446	0.215324	0.08541027	0.2494813	0.1762336	0.188199	0.2797176	0.2315752	0.213212	0.24423	0.1655699	0.1366807	0.2245092	0.1967302	0.1134436	0.2346015	0.2354687	0.194118	0.1468449	0.2146622	0.1031549	0.1325373	0.2013257	0.2791951	0.2350161	0.2103575	0.2243829	0.1514988	0.1518353	0.2937417	0.2099704	0.08972926	0.2629095	0.1544744	0.1467208	0.204977	0.3261604	0.2637733	0.2596723	0.2203448	0.1299441	0.1914119	0.1789785	0.2838717	0.1861909	0.2135312	0.2314995	0.2602132	0.1829831	0.3447914	0.2129958	0.2436305	0.2196171	0.232867	0.1388594	0.2521954	0.1776587	0.17832	0.3034091	0.2918624	0.1779663
f20	5x	30ind	0.1751421	0.2366433	0.248625	0.1526841	0.1918594	0.2577457	0.1906514	0.1867279	0.2309484	0.286568	0.2274579	0.1225198	0.1661714	0.1919939	0.2124834	0.2500611	0.1714663	0.2072709	0.2221981	0.2407181	0.2191095	0.2238218	0.1921626	0.2240382	0.2159348	0.1792146	0.1809517	0.2293972	0.2693719	0.2575618	0.2660454	0.1802439	0.1951131	0.2512262	0.2068495	0.1755022	0.2173685	0.2512202	0.1711311	0.2003502	0.1560022	0.2064293	0.1917809	0.2111352	0.2015513	0.2840089	0.2302061	0.2194178	0.1825667	0.1524532	0.2121475	0.1949212	0.2301616	0.2116405	0.2250068	0.2338465	0.2936178	0.2229789	0.2305082	0.1977774	0.1526861	0.1624034	0.2539299	0.2590275	0.2967173	0.2348708	0.1800996	0.1427365	0.2448014	0.1821466	0.2383195	0.2782994	0.206453	0.2061754	0.2835106	0.1953878	0.1015303	0.2432246	0.2508411	0.2100226	0.1783958	0.2024147	0.1795507	0.2368355	0.2367742	0.2140379	0.2573251	0.283242	0.1395335	0.2447227	0.119719	0.3144829	0.2586667	0.1399811	0.2397728	0.3072967	0.3163781	0.2059323	0.213739	0.1919501
f20	10x	5ind	0.121115	0.2457118	0.1063003	0.3471851	0.4221049	0.2622677	0.1958041	0.1728768	0.3477971	0.1962657	0.1266886	0.2386682	0.1698455	0.1628154	0.1871139	0.1766681	0.5250447	0.1982607	0.209329	0.1655282	0.1943181	0.1968515	0.2357883	0.4072406	0.3728376	0.1522831	0.3334583	0.1038327	0.1958044	0.1835115	0.1459218	0.1320413	0.2771956	0.2528852	0.1642084	0.3111647	0.2645898	0.2844326	0.2004898	0.1204938	0.1852848	0.1333501	0.1510178	0.0680496	0.3377035	0.2507425	0.2438153	0.2428178	0.2136759	0.3022403	0.3223712	0.3902432	0.2313872	0.2630963	0.3746709	0.1621955	0.2203128	0.2852491	0.06141749	0.04750893	0.1739926	0.2215818	0.1294114	0.1344082	0.2690346	0.1483302	0.1757743	0.2822951	0.4362341	0.2186249	0.2424558	0.1449698	0.2445066	0.1981379	0.1481789	0.1790364	0.2772065	0.2294373	0.1903598	0.1009516	0.2547258	0.1427921	0.2501106	0.1482819	0.2091317	0.2263862	0.1820756	0.3974147	0.1433899	0.2083445	0.2117866	0.3324228	0.1803137	0.2809558	0.2094805	0.1789807	0.1342535	0.275408	0.1971915	0.2598369
f20	10x	10ind	0.2537712	0.193814	0.2506791	0.2096936	0.2945946	0.2357371	0.09011085	0.2584291	0.2627441	0.2651352	0.2172193	0.1781856	0.2892506	0.2078114	0.2422863	0.3474245	0.1399817	0.2471571	0.3263691	0.2402076	0.2338763	0.2155332	0.2801508	0.3092631	0.2550982	0.1467166	0.3077195	0.2223551	0.189019	0.181583	0.2993731	0.1913608	0.2006764	0.1565198	0.3686067	0.2889419	0.2419325	0.3120011	0.2278797	0.1603795	0.1952874	0.3007485	0.1333369	0.1693279	0.2782243	0.08335812	0.1820422	0.2622113	0.3089568	0.1576097	0.2225431	0.2320295	0.1480528	0.201659	0.2892198	0.1442112	0.2401398	0.2817321	0.1646091	0.1629079	0.2849776	0.08073931	0.146099	0.2614631	0.1972814	0.1400084	0.2678245	0.2662225	0.3081623	0.3123547	0.158685	0.2143517	0.2122247	0.2497743	0.1411477	0.2110398	0.2902113	0.1838178	0.3139515	0.1704757	0.2131342	0.1631636	0.3100349	0.1611142	0.113055	0.2503555	0.2280206	0.3100221	0.1465759	0.2167977	0.2178482	0.2621981	0.2478835	0.2533421	0.163877	0.1954684	0.1413182	0.2628659	0.1626546	0.1715326
f20	10x	20ind	0.1602495	0.1606166	0.2468534	0.2141089	0.1912696	0.2496776	0.1832312	0.2931839	0.2010583	0.249334	0.1241937	0.1895586	0.2406837	0.1457337	0.1327488	0.2669131	0.2130471	0.2342511	0.2385774	0.2332103	0.1771813	0.2864812	0.2309178	0.3139637	0.1801715	0.195517	0.236308	0.1850277	0.286503	0.2336116	0.2650674	0.2323649	0.2984792	0.2052875	0.2062397	0.2559709	0.1800923	0.2784902	0.2322166	0.1535889	0.2029125	0.1909528	0.2910955	0.2277501	0.208464	0.2399038	0.1455219	0.2627839	0.1912734	0.2694841	0.2493098	0.09648902	0.1666892	0.3138945	0.2015066	0.1959766	0.1908947	0.1850037	0.1349118	0.1773395	0.309749	0.2654205	0.1962127	0.1816355	0.1700945	0.2503601	0.2128022	0.2347661	0.1896427	0.2549753	0.1407669	0.3236479	0.2262163	0.3010775	0.2368228	0.2079188	0.2000042	0.1739426	0.1469125	0.2568867	0.2329647	0.2134945	0.2588555	0.1687633	0.2448901	0.1571962	0.2585786	0.2642421	0.1833159	0.250881	0.2369583	0.1149752	0.2765906	0.1787918	0.09405847	0.1992683	0.2168455	0.1529217	0.2286751	0.1855796
f20	10x	30ind	0.1863821	0.1891748	0.2072561	0.1968843	0.1472117	0.1988536	0.2699763	0.2090814	0.1152236	0.181745	0.3020258	0.1547617	0.2118548	0.2208467	0.1881799	0.2004105	0.204199	0.128614	0.1988429	0.1945708	0.223881	0.1886392	0.1874012	0.1556381	0.2366916	0.2330118	0.2016535	0.2118395	0.2166797	0.1678893	0.2152271	0.1313624	0.1757267	0.1670119	0.2057737	0.2504354	0.177025	0.2199629	0.23982	0.1595349	0.253532	0.1862149	0.195748	0.2010217	0.2704829	0.1972022	0.269847	0.2201158	0.1958367	0.1852036	0.184022	0.1657005	0.2005467	0.2066278	0.2240679	0.2301558	0.2537355	0.2240048	0.2453707	0.2625261	0.2007812	0.2039965	0.2017864	0.228416	0.1830291	0.1626695	0.1965209	0.1726461	0.1925808	0.1345802	0.1733782	0.3093698	0.213319	0.2221551	0.1587864	0.2057669	0.1544604	0.1695083	0.261303	0.1763053	0.1890213	0.2403457	0.2198863	0.2675493	0.1559161	0.2741801	0.1912897	0.195013	0.2212817	0.2223829	0.1606103	0.1790691	0.3567131	0.2215538	0.1136663	0.1525867	0.1810277	0.1571032	0.2043649	0.3303341
f20	15x	5ind	0.2680982	0.230868	0.2599403	0.2403362	0.1412283	0.0981564	0.3032537	0.3112177	0.2255471	0.3754509	0.2723345	0.3943192	0.3659479	0.2633213	0.2168692	0.1433535	0.2359533	0.216273	0.2070902	0.298415	0.1687039	0.2389906	0.2075858	0.1893021	0.1678215	0.1406164	0.2769421	0.2894692	0.1937729	0.3158912	0.2974198	0.04804943	0.3887551	0.3021664	0.2208413	0.2263276	0.17775	0.3001122	0.2411841	0.5015093	0.3442788	0.04969882	0.1336776	0.1554614	0.262822	0.1106941	0.3412667	0.1982054	0.385374	0.1873348	0.1206574	0.2599128	0.2135471	0.1911132	0.1359172	0.2353318	0.263371	0.2622569	0.07452598	0.364616	0.115312	0.1395477	0.3254028	0.1916884	0.07389772	0.1340249	0.2497044	0.3872543	0.3568827	0.2509427	0.2187572	0.196162	0.1966153	0.1625464	0.2554625	0.2870922	0.4044984	0.3178366	0.3606765	0.3550074	0.08564894	0.2301824	0.2180368	0.2898323	0.2325899	0.2035493	0.2222751	0.2305878	0.3043449	0.3576925	0.4936803	0.1951975	0.1455843	0.2366763	0.2743159	0.1918262	0.2066115	0.1914637	0.470297	0.2534641
f20	15x	10ind	0.1545879	0.2064904	0.2201867	0.2508482	0.3391233	0.2645437	0.2731008	0.1874466	0.07879568	0.2270533	0.2235322	0.1789394	0.1900423	0.2793804	0.1379443	0.1885673	0.1806241	0.1839043	0.1014805	0.1432828	0.3657203	0.2038255	0.4092182	0.2323183	0.2715808	0.2681524	0.2477942	0.2265141	0.259893	0.2519228	0.2909822	0.1989192	0.3896583	0.4153513	0.1530934	0.1944495	0.3004004	0.3490228	0.05668156	0.33358	0.1559781	0.1933286	0.2182939	0.2039754	0.1360176	0.2094402	0.2440698	0.1894232	0.305154	0.2543158	0.1986059	0.2145146	0.327037	0.2130277	0.2164286	0.3965402	0.1902254	0.2357342	0.1664965	0.2742612	0.136228	0.3006758	0.2157468	0.2945395	0.3003601	0.2417251	0.3831998	0.2289436	0.1527487	0.1844338	0.2527218	0.2033086	0.288114	0.1879319	0.1171538	0.1876978	0.1254978	0.2611516	0.2105722	0.2576758	0.1857475	0.2180227	0.1801296	0.2824955	0.14346	0.2118819	0.2499463	0.3364306	0.2605706	0.2277704	0.2660313	0.1836918	0.1944214	0.2339585	0.1853382	0.2443299	0.1562695	0.1984154	0.139143	0.2407426
