iter 	 p
500 	 0.8222957 
1000 	 0.8187791 
1500 	 0.8280773 
2000 	 0.834065 
2500 	 0.7663587 
3000 	 0.8105399 
3500 	 0.8120889 
4000 	 0.822475 
4500 	 0.8268457 
5000 	 0.8217659 
5500 	 0.8236293 
6000 	 0.7443629 
6500 	 0.8075014 
7000 	 0.8333827 
7500 	 0.8952316 
8000 	 0.8358971 
8500 	 0.8200956 
9000 	 0.7877627 
9500 	 0.7257984 
10000 	 0.8506854 
10500 	 0.7606247 
11000 	 0.7705255 
11500 	 0.7917919 
12000 	 0.7341024 
12500 	 0.8868729 
13000 	 0.7557699 
13500 	 0.7862799 
14000 	 0.7640526 
14500 	 0.8314318 
15000 	 0.7912881 
15500 	 0.7685392 
16000 	 0.8422157 
16500 	 0.810564 
17000 	 0.8142258 
17500 	 0.8072618 
18000 	 0.7809981 
18500 	 0.8688315 
19000 	 0.8360964 
19500 	 0.8505547 
20000 	 0.8100392 
20500 	 0.7874025 
21000 	 0.8556328 
21500 	 0.8294894 
22000 	 0.8217567 
22500 	 0.7089018 
23000 	 0.8315825 
23500 	 0.8407034 
24000 	 0.8129324 
24500 	 0.7906281 
25000 	 0.7656515 
25500 	 0.8135353 
26000 	 0.7768047 
26500 	 0.8101409 
27000 	 0.8982098 
27500 	 0.8024814 
28000 	 0.8232779 
28500 	 0.8406003 
29000 	 0.8075402 
29500 	 0.7303119 
30000 	 0.8178135 
30500 	 0.8438816 
31000 	 0.8765409 
31500 	 0.7692579 
32000 	 0.8033054 
32500 	 0.7478649 
33000 	 0.8270176 
33500 	 0.8440619 
34000 	 0.8611918 
34500 	 0.7968736 
35000 	 0.8664824 
35500 	 0.8172446 
36000 	 0.8219149 
36500 	 0.8197337 
37000 	 0.8577918 
37500 	 0.8292275 
38000 	 0.8604022 
38500 	 0.8557265 
39000 	 0.8469623 
39500 	 0.7891279 
40000 	 0.7701381 
40500 	 0.7673583 
41000 	 0.8795008 
41500 	 0.831783 
42000 	 0.813395 
42500 	 0.7755126 
43000 	 0.8044432 
43500 	 0.850924 
44000 	 0.7779901 
44500 	 0.8663616 
45000 	 0.8620966 
45500 	 0.8435453 
46000 	 0.8323202 
46500 	 0.8056953 
47000 	 0.7527089 
47500 	 0.8463357 
48000 	 0.8058665 
48500 	 0.8313595 
49000 	 0.7630675 
49500 	 0.8413705 
50000 	 0.8028934 
50500 	 0.8890918 
51000 	 0.8491187 
51500 	 0.8745638 
52000 	 0.7984621 
52500 	 0.8296379 
53000 	 0.8080442 
53500 	 0.8199449 
54000 	 0.7989804 
54500 	 0.818585 
55000 	 0.8972392 
55500 	 0.8439918 
56000 	 0.7602664 
56500 	 0.8473132 
57000 	 0.8362058 
57500 	 0.8260104 
58000 	 0.7888992 
58500 	 0.7663362 
59000 	 0.8105435 
59500 	 0.780149 
60000 	 0.8416823 
60500 	 0.7455685 
61000 	 0.7963998 
61500 	 0.7752899 
62000 	 0.8212328 
62500 	 0.7684648 
63000 	 0.7784447 
63500 	 0.8098068 
64000 	 0.7847372 
64500 	 0.8331101 
