iter 	 p
5000 	 0.4224298 
10000 	 0.3946829 
15000 	 0.4919909 
20000 	 0.4620306 
25000 	 0.545555 
30000 	 0.5068275 
35000 	 0.4091953 
40000 	 0.3449899 
45000 	 0.5210116 
50000 	 0.4813201 
55000 	 0.357879 
60000 	 0.5043819 
65000 	 0.363248 
70000 	 0.4020436 
75000 	 0.4210024 
80000 	 0.4952021 
85000 	 0.38022 
90000 	 0.4962923 
95000 	 0.5111401 
100000 	 0.4697117 
105000 	 0.5269699 
110000 	 0.4322425 
115000 	 0.3479559 
120000 	 0.4269742 
125000 	 0.3259487 
130000 	 0.3940272 
135000 	 0.5571271 
140000 	 0.2854874 
145000 	 0.2893556 
150000 	 0.5653363 
155000 	 0.4192855 
160000 	 0.3478172 
165000 	 0.5694912 
170000 	 0.5777669 
175000 	 0.4807461 
180000 	 0.3754094 
185000 	 0.4904315 
190000 	 0.4710689 
195000 	 0.4414412 
200000 	 0.4128766 
205000 	 0.4421955 
210000 	 0.3563738 
215000 	 0.4002538 
220000 	 0.4332417 
225000 	 0.4623635 
230000 	 0.3700686 
235000 	 0.4433512 
240000 	 0.6210552 
245000 	 0.503849 
250000 	 0.4737308 
255000 	 0.5339283 
260000 	 0.4902282 
265000 	 0.4389373 
270000 	 0.4150313 
275000 	 0.465916 
280000 	 0.393813 
285000 	 0.4042119 
290000 	 0.5114111 
295000 	 0.5010744 
300000 	 0.3683771 
305000 	 0.4480375 
310000 	 0.4123327 
315000 	 0.2437879 
320000 	 0.4827278 
325000 	 0.6172643 
330000 	 0.4175255 
335000 	 0.3687868 
340000 	 0.3776141 
345000 	 0.4237877 
350000 	 0.4089828 
355000 	 0.4112313 
360000 	 0.4907538 
365000 	 0.4195835 
370000 	 0.4502995 
375000 	 0.4281753 
380000 	 0.3899182 
385000 	 0.4999365 
390000 	 0.3240462 
395000 	 0.4394581 
400000 	 0.4444699 
405000 	 0.4287147 
410000 	 0.3350903 
415000 	 0.4677318 
420000 	 0.4709325 
425000 	 0.3939704 
430000 	 0.493026 
435000 	 0.4438699 
440000 	 0.4682757 
445000 	 0.425126 
450000 	 0.3647538 
455000 	 0.5163063 
460000 	 0.4595871 
465000 	 0.4648024 
470000 	 0.3887242 
475000 	 0.4612089 
480000 	 0.4419211 
485000 	 0.4664229 
490000 	 0.4805994 
495000 	 0.3586946 
500000 	 0.4715857 
