iter 	 p
5000 	 0.06503416 
10000 	 0.2623445 
15000 	 0.1266296 
20000 	 0.3245935 
25000 	 0.08896884 
30000 	 0.2608294 
35000 	 0.1422322 
40000 	 0.2151492 
45000 	 0.1507427 
50000 	 0.05228039 
55000 	 0.1079172 
60000 	 0.225814 
65000 	 0.05492578 
70000 	 0.2328006 
75000 	 0.09131898 
80000 	 0.2600883 
85000 	 0.1845603 
90000 	 0.254568 
95000 	 0.04764298 
100000 	 0.271168 
105000 	 0.2811564 
110000 	 0.08668761 
115000 	 0.1174051 
120000 	 0.12968 
125000 	 0.2447069 
130000 	 0.1569213 
135000 	 0.1505368 
140000 	 0.1410013 
145000 	 0.2268517 
150000 	 0.2152437 
155000 	 0.2535148 
160000 	 0.4454726 
165000 	 0.2346242 
170000 	 0.1093194 
175000 	 0.1467186 
180000 	 0.1657514 
185000 	 0.1645161 
190000 	 0.2289903 
195000 	 0.07954771 
200000 	 0.1127267 
205000 	 0.2133849 
210000 	 0.1119796 
215000 	 0.1478542 
220000 	 0.2606775 
225000 	 0.2644254 
230000 	 0.2261741 
235000 	 0.3250967 
240000 	 0.08720543 
245000 	 0.1322807 
250000 	 0.2133513 
255000 	 0.1188072 
260000 	 0.2441551 
265000 	 0.2490387 
270000 	 0.1517427 
275000 	 0.2020979 
280000 	 0.11535 
285000 	 0.2415958 
290000 	 0.08836893 
295000 	 0.1812276 
300000 	 0.3489319 
305000 	 0.191037 
310000 	 0.3385802 
315000 	 0.2908215 
320000 	 0.1712846 
325000 	 0.4899594 
330000 	 0.2258547 
335000 	 0.3709869 
340000 	 0.2114299 
345000 	 0.0762339 
350000 	 0.1542804 
355000 	 0.1831675 
360000 	 0.2304403 
365000 	 0.1042667 
370000 	 0.1875746 
375000 	 0.2144342 
380000 	 0.06699879 
385000 	 0.1385117 
390000 	 0.2181595 
395000 	 0.3315995 
400000 	 0.08413675 
405000 	 0.06531748 
410000 	 0.2834691 
415000 	 0.2232592 
420000 	 0.0558499 
425000 	 0.1649971 
430000 	 0.3699525 
435000 	 0.1498535 
440000 	 0.2772947 
445000 	 0.4101995 
450000 	 0.1057561 
455000 	 0.196019 
460000 	 0.1268433 
465000 	 0.1895379 
470000 	 0.2047994 
475000 	 0.02492275 
480000 	 0.033286 
485000 	 0.3683735 
490000 	 0.3390746 
495000 	 0.2479857 
500000 	 0.3618318 
