iter 	 p
5000 	 0.8170578 
10000 	 0.8464333 
15000 	 0.8572589 
20000 	 0.8383168 
25000 	 0.7977143 
30000 	 0.9049026 
35000 	 0.8591541 
40000 	 0.8844421 
45000 	 0.827034 
50000 	 0.8687534 
55000 	 0.888685 
60000 	 0.9244315 
65000 	 0.7838775 
70000 	 0.9195264 
75000 	 0.897295 
80000 	 0.8765585 
85000 	 0.8971394 
90000 	 0.7969984 
95000 	 0.8854176 
100000 	 0.8538525 
105000 	 0.8403708 
110000 	 0.8544096 
115000 	 0.8577267 
120000 	 0.8508733 
125000 	 0.8115193 
130000 	 0.8160694 
135000 	 0.916525 
140000 	 0.8430402 
145000 	 0.8803408 
150000 	 0.8640692 
155000 	 0.8533139 
160000 	 0.9153676 
165000 	 0.8765487 
170000 	 0.9337255 
175000 	 0.9496 
180000 	 0.8964213 
185000 	 0.8935891 
190000 	 0.9115782 
195000 	 0.9637652 
200000 	 0.8645146 
205000 	 0.8470185 
210000 	 0.9020776 
215000 	 0.7774875 
220000 	 0.8743642 
225000 	 0.9067091 
230000 	 0.9200076 
235000 	 0.8475201 
240000 	 0.8757195 
245000 	 0.8041307 
250000 	 0.8842133 
255000 	 0.8881126 
260000 	 0.8901118 
265000 	 0.8860238 
270000 	 0.9159091 
275000 	 0.876114 
280000 	 0.8122569 
285000 	 0.9136292 
290000 	 0.9034954 
295000 	 0.8259151 
300000 	 0.8526836 
305000 	 0.8736105 
310000 	 0.8372236 
315000 	 0.9074554 
320000 	 0.8957181 
325000 	 0.8806715 
330000 	 0.7858112 
335000 	 0.8925901 
340000 	 0.8257484 
345000 	 0.886214 
350000 	 0.8355841 
355000 	 0.8385644 
360000 	 0.8414529 
365000 	 0.9609293 
370000 	 0.8361176 
375000 	 0.8367988 
380000 	 0.9071632 
385000 	 0.8896764 
390000 	 0.7679957 
395000 	 0.8704179 
400000 	 0.7776891 
405000 	 0.8627289 
410000 	 0.8649212 
415000 	 0.8237441 
420000 	 0.9036861 
425000 	 0.8906482 
430000 	 0.8804324 
435000 	 0.9111717 
440000 	 0.8453893 
445000 	 0.9000447 
450000 	 0.8606476 
455000 	 0.8824622 
460000 	 0.9184133 
465000 	 0.8341623 
470000 	 0.8737645 
475000 	 0.9080583 
480000 	 0.7970582 
485000 	 0.7843663 
490000 	 0.8313234 
495000 	 0.8650085 
500000 	 0.8960322 
