iter 	 p
5000 	 0.490883 
10000 	 0.4493298 
15000 	 0.5315502 
20000 	 0.5640124 
25000 	 0.480744 
30000 	 0.6479907 
35000 	 0.4076782 
40000 	 0.4648552 
45000 	 0.4365182 
50000 	 0.6323853 
55000 	 0.4845024 
60000 	 0.5519898 
65000 	 0.4422344 
70000 	 0.48557 
75000 	 0.3982509 
80000 	 0.4071418 
85000 	 0.4649665 
90000 	 0.3749512 
95000 	 0.6256651 
100000 	 0.5850595 
105000 	 0.6352436 
110000 	 0.3991153 
115000 	 0.5283821 
120000 	 0.4927005 
125000 	 0.3586221 
130000 	 0.5413793 
135000 	 0.360583 
140000 	 0.3546827 
145000 	 0.5142365 
150000 	 0.4352532 
155000 	 0.4148687 
160000 	 0.2104327 
165000 	 0.4099823 
170000 	 0.4187384 
175000 	 0.4624399 
180000 	 0.4346572 
185000 	 0.4077017 
190000 	 0.3441829 
195000 	 0.5546166 
200000 	 0.5285571 
205000 	 0.4301043 
210000 	 0.51025 
215000 	 0.613109 
220000 	 0.5073482 
225000 	 0.4228068 
230000 	 0.4098493 
235000 	 0.5361232 
240000 	 0.4024721 
245000 	 0.3611764 
250000 	 0.4892095 
255000 	 0.4644459 
260000 	 0.4339361 
265000 	 0.4805381 
270000 	 0.5737166 
275000 	 0.3392868 
280000 	 0.3602965 
285000 	 0.3014081 
290000 	 0.4804161 
295000 	 0.444786 
300000 	 0.486217 
305000 	 0.5227923 
310000 	 0.4210932 
315000 	 0.3236995 
320000 	 0.3991491 
325000 	 0.3873188 
330000 	 0.5501666 
335000 	 0.5479044 
340000 	 0.4823091 
345000 	 0.5228082 
350000 	 0.3542619 
355000 	 0.4865291 
360000 	 0.4278046 
365000 	 0.5825981 
370000 	 0.3065181 
375000 	 0.3904052 
380000 	 0.5709671 
385000 	 0.3846106 
390000 	 0.4100111 
395000 	 0.4306653 
400000 	 0.3695857 
405000 	 0.4439365 
410000 	 0.5403167 
415000 	 0.5353078 
420000 	 0.4480801 
425000 	 0.5895295 
430000 	 0.286887 
435000 	 0.4421925 
440000 	 0.4126999 
445000 	 0.552334 
450000 	 0.6027573 
455000 	 0.4532537 
460000 	 0.446094 
465000 	 0.4385224 
470000 	 0.5556696 
475000 	 0.525223 
480000 	 0.5576062 
485000 	 0.3465832 
490000 	 0.2773364 
495000 	 0.3107181 
500000 	 0.4657083 
